date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
4/7/2021,236,236,340,822,3899,26
4/8/2021,247,241,355,863,3974,26
4/9/2021,255,246,356,868,3987,64
5/1/2021,358,299,416,958,4145,77
5/10/2021,376,318,440,988,4188,82
5/11/2021,377,318,441,990,4191,83
5/12/2021,380,321,445,995,4209,83
5/13/2021,380,321,446,997,4213,85
5/14/2021,380,321,447,1002,4218,85
5/15/2021,380,322,447,1002,4218,86
5/16/2021,380,322,447,1002,4219,86
5/17/2021,383,322,452,1005,4223,88
5/18/2021,383,323,454,1009,4232,94
5/19/2021,386,325,460,1020,4246,115
5/2/2021,359,299,418,958,4147,77
5/20/2021,388,325,461,1023,4252,115
5/21/2021,396,325,462,1027,4257,115
5/22/2021,397,325,462,1027,4259,117
5/23/2021,397,325,463,1027,4259,119
5/24/2021,397,326,465,1030,4260,121
5/25/2021,398,326,466,1035,4263,129
5/26/2021,403,331,471,1036,4272,130
5/27/2021,403,331,473,1036,4272,131
5/28/2021,404,331,473,1036,4274,131
5/29/2021,405,333,474,1036,4275,131
5/3/2021,362,300,420,963,4148,77
5/30/2021,405,333,474,1036,4275,132
5/31/2021,405,333,474,1036,4275,132
5/4/2021,363,302,422,964,4155,80
5/5/2021,372,314,432,974,4169,81
5/6/2021,373,317,439,983,4183,82
5/7/2021,375,318,440,983,4183,82
5/8/2021,375,318,440,986,4185,82
5/9/2021,375,318,440,986,4186,82
6/1/2021,408,336,475,1038,4278,136
6/10/2021,417,344,490,1054,4308,158
6/11/2021,419,345,491,1054,4310,161
6/12/2021,420,345,491,1054,4310,161
6/13/2021,420,346,491,1056,4310,161
6/14/2021,421,346,493,1058,4311,161
6/15/2021,423,348,493,1058,4312,168
6/16/2021,423,348,496,1062,4314,169
6/17/2021,425,348,498,1062,4314,169
6/18/2021,427,348,498,1062,4315,170
6/19/2021,427,349,498,1063,4315,170
6/2/2021,410,339,480,1045,4288,136
6/20/2021,427,349,498,1063,4315,170
6/21/2021,428,350,498,1063,4316,171
6/22/2021,430,350,499,1065,4317,178
6/23/2021,432,350,501,1067,4320,178
6/24/2021,433,351,502,1071,4321,179
6/25/2021,435,352,503,1071,4321,180
6/26/2021,435,354,504,1072,4321,181
6/27/2021,435,354,504,1073,4322,181
6/28/2021,435,354,505,1074,4324,181
6/29/2021,435,354,506,1078,4326,187
6/3/2021,412,341,485,1047,4295,137
6/30/2021,437,355,508,1078,4327,190
6/4/2021,412,341,486,1048,4296,138
6/5/2021,412,341,486,1048,4298,139
6/6/2021,413,341,486,1048,4300,139
6/7/2021,416,342,488,1048,4300,139
6/8/2021,417,342,489,1048,4303,148
6/9/2021,417,344,490,1053,4307,158
7/1/2021,439,356,508,1078,4332,190
7/10/2021,443,362,518,1090,4343,194
7/11/2021,443,363,520,1090,4343,194
7/12/2021,447,366,522,1092,4345,195
7/13/2021,447,367,523,1092,4346,199
7/14/2021,447,367,525,1093,4347,201
7/15/2021,449,367,526,1093,4348,201
7/16/2021,449,367,529,1093,4348,203
7/17/2021,449,368,529,1094,4349,204
7/18/2021,449,369,529,1094,4349,204
7/19/2021,449,369,529,1095,4351,206
7/2/2021,439,357,511,1078,4332,190
7/20/2021,450,371,530,1098,4354,214
7/21/2021,452,374,537,1101,4358,223
7/22/2021,453,377,537,1102,4362,224
7/23/2021,454,378,540,1105,4364,227
7/24/2021,454,378,540,1107,4365,227
7/25/2021,454,378,540,1107,4367,229
7/26/2021,458,379,540,1107,4369,230
7/27/2021,458,382,541,1107,4371,239
7/28/2021,462,382,542,1109,4377,244
7/29/2021,476,388,544,1118,4381,258
7/3/2021,439,357,512,1079,4332,190
7/30/2021,479,388,546,1119,4382,260
7/31/2021,479,389,547,1120,4382,261
7/4/2021,439,357,512,1079,4332,190
7/5/2021,439,357,513,1080,4332,190
7/6/2021,439,357,513,1080,4333,193
7/7/2021,441,359,514,1086,4337,193
7/8/2021,442,361,518,1089,4340,194
7/9/2021,443,362,518,1089,4343,194
8/1/2021,481,390,547,1120,4382,261
8/10/2021,501,402,560,1143,4422,275
8/11/2021,504,403,563,1148,4426,285
8/12/2021,510,403,565,1149,4430,296
8/13/2021,514,405,565,1152,4433,303
8/14/2021,516,406,567,1153,4434,304
8/15/2021,516,406,568,1153,4435,305
8/16/2021,518,406,569,1153,4436,307
8/17/2021,520,407,570,1154,4439,314
8/18/2021,526,409,575,1158,4443,317
8/19/2021,526,409,576,1162,4444,319
8/2/2021,482,390,548,1122,4386,262
8/20/2021,528,411,577,1165,4444,320
8/21/2021,529,411,577,1165,4448,321
8/22/2021,530,411,577,1165,4448,321
8/23/2021,533,414,577,1168,4451,321
8/24/2021,535,414,577,1171,4451,325
8/25/2021,537,417,582,1173,4451,326
8/26/2021,548,425,587,1176,4456,335
8/27/2021,549,426,589,1178,4458,340
8/28/2021,553,426,592,1178,4459,341
8/29/2021,553,426,592,1178,4459,343
8/3/2021,484,391,549,1127,4391,266
8/30/2021,554,428,594,1179,4461,346
8/31/2021,555,429,594,1179,4463,349
8/4/2021,488,395,554,1134,4399,267
8/5/2021,492,399,557,1137,4409,267
8/6/2021,493,400,557,1138,4412,269
8/7/2021,496,400,558,1139,4415,270
8/8/2021,497,400,558,1139,4416,270
8/9/2021,499,401,560,1141,4416,273
9/1/2021,558,432,596,1184,4466,350
9/10/2021,568,437,601,1189,4487,364
9/11/2021,568,437,601,1189,4488,365
9/12/2021,568,437,601,1189,4490,365
9/13/2021,570,438,601,1190,4493,366
9/14/2021,570,443,603,1192,4498,387
9/15/2021,573,445,605,1192,4503,389
9/16/2021,575,447,610,1196,4504,389
9/17/2021,576,448,611,1196,4506,396
9/18/2021,578,448,614,1196,4508,397
9/19/2021,579,448,614,1196,4508,397
9/2/2021,559,432,598,1186,4467,353
9/20/2021,579,449,618,1198,4510,402
9/21/2021,583,451,620,1198,4512,407
9/22/2021,586,451,622,1204,4514,409
9/23/2021,586,451,622,1204,4515,409
9/24/2021,586,451,622,1206,4517,411
9/25/2021,589,451,622,1206,4518,411
9/26/2021,589,453,622,1206,4518,411
9/27/2021,591,456,624,1207,4520,412
9/28/2021,592,457,624,1210,4520,413
9/29/2021,598,458,626,1211,4524,421
9/3/2021,559,433,598,1187,4470,354
9/30/2021,600,458,628,1213,4527,421
9/4/2021,560,433,598,1187,4471,354
9/5/2021,560,433,598,1187,4472,354
9/6/2021,560,433,598,1187,4473,354
9/7/2021,560,434,600,1187,4476,356
9/8/2021,562,436,601,1189,4480,360
9/9/2021,566,437,601,1189,4483,360
