date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
5/26/2021,2550,2077,2116,2718,4795,403
5/27/2021,2566,2085,2122,2727,4798,410
5/28/2021,2576,2089,2127,2734,4798,419
5/29/2021,2579,2090,2128,2734,4798,419
5/3/2021,2374,1965,2012,2608,4708,264
5/30/2021,2579,2090,2128,2734,4798,419
5/31/2021,2581,2091,2128,2734,4798,422
5/4/2021,2386,1974,2020,2614,4718,264
5/5/2021,2395,1982,2025,2621,4724,269
5/6/2021,2404,1994,2028,2631,4728,280
5/7/2021,2408,1995,2031,2636,4731,284
5/8/2021,2413,2001,2035,2638,4731,285
5/9/2021,2413,2001,2036,2638,4731,285
6/1/2021,2590,2104,2132,2741,4802,432
6/10/2021,2646,2145,2168,2782,4840,485
6/11/2021,2650,2147,2169,2784,4840,490
6/12/2021,2651,2148,2170,2787,4841,492
6/13/2021,2652,2148,2170,2787,4841,492
6/14/2021,2661,2153,2177,2792,4843,506
6/15/2021,2665,2157,2182,2794,4845,520
6/16/2021,2670,2158,2185,2795,4846,524
6/17/2021,2675,2161,2186,2797,4848,539
6/18/2021,2692,2165,2192,2800,4854,544
6/19/2021,2695,2165,2193,2801,4856,549
6/2/2021,2595,2110,2136,2747,4808,436
6/20/2021,2695,2165,2193,2805,4856,550
6/21/2021,2698,2168,2197,2809,4861,557
6/22/2021,2700,2174,2198,2814,4862,564
6/23/2021,2702,2176,2199,2817,4864,570
6/24/2021,2707,2181,2201,2819,4864,574
6/25/2021,2713,2184,2204,2822,4870,589
6/26/2021,2716,2184,2207,2824,4871,589
6/27/2021,2716,2184,2207,2825,4871,589
6/28/2021,2722,2191,2211,2829,4872,599
6/29/2021,2732,2195,2213,2831,4873,607
6/3/2021,2604,2114,2138,2751,4813,438
6/30/2021,2744,2200,2220,2836,4874,622
6/4/2021,2616,2120,2146,2758,4815,446
6/5/2021,2618,2123,2147,2760,4818,448
6/6/2021,2622,2123,2147,2762,4818,448
6/7/2021,2625,2123,2149,2764,4821,460
6/8/2021,2628,2126,2158,2767,4824,473
6/9/2021,2633,2132,2161,2768,4828,476
7/1/2021,2750,2203,2223,2837,4877,632
7/10/2021,2790,2227,2240,2857,4897,689
7/11/2021,2791,2227,2241,2857,4897,689
7/12/2021,2800,2229,2243,2859,4898,697
7/13/2021,2806,2230,2247,2859,4900,709
7/14/2021,2819,2240,2247,2861,4905,718
7/15/2021,2827,2248,2250,2868,4908,726
7/16/2021,2832,2251,2255,2871,4913,731
7/17/2021,2836,2252,2256,2871,4913,736
7/18/2021,2839,2252,2256,2872,4913,738
