date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
8/26/2021,32424,27619,29911,35683,75090,15990
8/27/2021,32573,27709,29994,35744,75130,16087
8/28/2021,32678,27772,30049,35780,75149,16194
8/29/2021,32748,27818,30077,35800,75170,16236
8/3/2021,28776,25127,28040,34451,74138,13374
8/30/2021,32858,27918,30147,35852,75199,16303
8/31/2021,32973,27986,30200,35893,75231,16355
8/4/2021,28946,25247,28137,34513,74194,13523
8/5/2021,29123,25378,28232,34582,74260,13634
8/6/2021,29336,25551,28369,34662,74329,13836
8/7/2021,29483,25643,28448,34706,74355,13973
8/8/2021,29577,25699,28495,34739,74368,14054
8/9/2021,29762,25827,28599,34795,74429,14149
9/1/2021,33099,28072,30261,35929,75261,16437
9/10/2021,33936,28649,30670,36248,75486,16940
9/11/2021,34044,28709,30721,36295,75501,17005
9/12/2021,34101,28744,30741,36313,75515,17041
9/13/2021,34213,28824,30796,36353,75545,17104
9/14/2021,34317,28892,30855,36395,75569,17168
9/15/2021,34398,28956,30889,36420,75595,17206
9/16/2021,34492,29021,30927,36445,75614,17252
9/17/2021,34647,29112,31012,36494,75637,17313
9/18/2021,34728,29160,31052,36521,75659,17387
9/19/2021,34777,29190,31084,36535,75668,17419
9/2/2021,33185,28148,30301,35960,75294,16483
9/20/2021,34826,29230,31111,36549,75679,17442
9/21/2021,34912,29282,31148,36575,75698,17487
9/22/2021,35024,29332,31200,36600,75715,17538
9/23/2021,35122,29381,31247,36634,75741,17601
9/24/2021,35257,29460,31294,36668,75780,17654
9/25/2021,35339,29504,31320,36685,75804,17721
9/26/2021,35380,29528,31347,36698,75821,17740
9/27/2021,35471,29570,31390,36720,75860,17805
9/28/2021,35549,29612,31427,36745,75894,17855
9/29/2021,35652,29654,31467,36774,75945,17901
9/3/2021,33328,28234,30372,36011,75335,16576
9/30/2021,35736,29704,31506,36792,75983,17938
9/4/2021,33408,28287,30422,36052,75358,16640
9/5/2021,33454,28312,30442,36082,75366,16685
9/6/2021,33476,28333,30458,36094,75372,16699
9/7/2021,33574,28394,30509,36137,75407,16745
9/8/2021,33665,28467,30555,36166,75434,16809
9/9/2021,33770,28531,30594,36195,75451,16869
