"POSTCODE","ConfirmedCases","ConfirmedCaseCount","LowCase","HighCase","population","hh_pop","med_inc","med_age","per1k_low","per1k_high","ALAND10","NUMHospitals","SQMILE","pop_density","zip_class","HasHospital"
"85933","0","0",0,0,2659,1233,39447,60.8,0,0,238459916,0,92.0698882947301,13.3920006077663,"Rural",FALSE
"85935","1-5","1-5",1,5,4832,1968,62325,51.5,0.508130081300813,2.54065040650406,125133402,0,48.3142766186312,40.733301577387,"Rural",FALSE
"85936","0","0",0,0,4447,1087,58370,37.4,0,0,2574237590,0,993.918690113919,1.09365082960198,"Rural",FALSE
"85937","1-5","1-5",1,5,7793,2406,40634,34.6,0.415627597672485,2.07813798836243,795699165,0,307.221165161192,7.83149168364629,"Rural",FALSE
"85343","0","0",0,0,195,71,49150,32.6,0,0,20727866,0,8.00307380468981,8.87159130762906,"Rural",FALSE
"86406","1-5","1-5",1,5,22995,10601,54358,56.7,0.0943307235166494,0.471653617583247,636033187,0,245.573786408745,43.1682882567735,"Rural",FALSE
"85535","0","0",0,0,0,0,NA,NA,NA,NA,11288542,0,4.35853043305764,0,"Rural",FALSE
"85609","0","0",0,0,199,118,108281,73.8,0,0,337263854,0,130.218302029554,0.9061706239513,"Rural",FALSE
"85137","0","0",0,0,2576,944,53125,39.4,0,0,535529989,0,206.769284719986,4.5654749992408,"Rural",FALSE
"85333","0","0",0,0,715,268,46346,43.4,0,0,1875774604,0,724.240623553568,0.370042761044013,"Rural",FALSE
"85922","0","0",0,0,37,23,NA,75.3,0,0,1009423148,0,389.740456330928,0.0590136323452927,"Rural",FALSE
"86404","6-10","6-10",6,10,16525,7643,51472,57.4,0.785032055475599,1.308386759126,448357538,0,173.111813222983,44.1506553348567,"Rural",FALSE
"85938","0","0",0,0,2212,769,54479,38.7,0,0,956083048,1,369.145728583772,2.0831881299298,"Rural",TRUE
"85939","0","0",0,0,4248,1571,43966,39.7,0,0,144628723,0,55.8414621383137,28.1332175025932,"Rural",FALSE
"86001","Greater Than 10","11",11,11,46041,17469,57867,28.9,0.629686873890892,0.629686873890892,2289734097,1,884.071277352226,19.7597189813917,"Rural",TRUE
"86011","1-5","1-5",1,5,9124,68,10357,19.1,14.7058823529412,73.5294117647059,1755264,0,0.677711219221268,100.337722132055,"Rural",FALSE
"86004","Greater Than 10","31",31,31,35798,13247,67345,34.6,2.34015248735563,2.34015248735563,1975330773,0,762.679475301219,17.3690264770376,"Rural",FALSE
"86005","1-5","1-5",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"86017","1-5","1-5",1,5,868,499,67637,59.6,2.00400801603206,10.0200400801603,358691717,0,138.491646186921,3.60310541277344,"Rural",FALSE
"86045","Data Suppressed","Data Suppressed",0,0,11634,3062,44766,30.8,0,0,3561472198,1,1375.09210325582,2.22675993320743,"Rural",TRUE
"86021","0","0",0,0,6023,809,46075,16.2,0,0,68942541,0,26.6188638958711,30.391980783428,"Rural",FALSE
"86022","0","0",0,0,2053,719,37284,37.4,0,0,1452168015,0,560.685205165592,1.28235950115297,"Rural",FALSE
"86023","1-5","1-5",1,5,2485,742,66343,36.1,1.34770889487871,6.73854447439353,702610946,0,271.279602869921,2.73518536650097,"Rural",FALSE
"86024","0","0",0,0,649,326,80132,66.2,0,0,1367999574,0,528.187588413888,0.617204961174791,"Rural",FALSE
"86025","6-10","6-10",6,10,5660,1728,45425,35.6,3.47222222222222,5.78703703703704,1858755673,0,717.669577558292,2.40779329936087,"Rural",FALSE
"86047","Greater Than 10","50",50,50,15393,4100,37943,33.9,12.1951219512195,12.1951219512195,4448463595,1,1717.56139625086,2.3871053511971,"Rural",TRUE
"86032","1-5","1-5",1,5,1688,519,60129,25.7,1.92678227360308,9.63391136801541,519620659,0,200.626658065937,2.58689450845275,"Rural",FALSE
"86033","Data Suppressed","Data Suppressed",0,0,7407,2138,23864,29.3,0,0,3056708742,0,1180.20184333817,1.81155453371664,"Rural",FALSE
"86034","Data Suppressed","Data Suppressed",0,0,1927,598,16803,38.4,0,0,1284241131,0,495.848272774984,1.20601408300432,"Rural",FALSE
"86035","Data Suppressed","Data Suppressed",0,0,2095,558,41667,35.1,0,0,1881973977,0,726.634214850511,0.76792420257116,"Rural",FALSE
"86038","0","0",0,0,26,9,NA,62.8,0,0,118598668,0,45.7912017156954,0.196544306827291,"Rural",FALSE
"86039","Data Suppressed","Data Suppressed",0,0,1273,403,30096,36,0,0,761743801,0,294.110925826515,1.3702313127861,"Rural",FALSE
"86040","Greater Than 10","55",55,55,10821,3226,57377,30.9,17.0489770613763,17.0489770613763,1950390786,1,753.050092486365,4.28391156469901,"Rural",TRUE
"86042","Data Suppressed","Data Suppressed",0,0,2181,548,27024,31.3,0,0,183343787,1,70.7894319170304,7.74126850802095,"Rural",TRUE
"86043","Data Suppressed","Data Suppressed",0,0,2838,568,37763,26.7,0,0,270660581,0,104.502634557905,5.43526966954379,"Rural",FALSE
