date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
2/6/2021,59400,57154,60646,57184,207171,1386
2/6/2022,576976,395271,404911,420499,674367,355879
2/7/2021,59926,57651,61155,57764,212865,1408
2/7/2022,577440,395447,405065,420616,674471,356499
2/8/2021,60877,58559,62191,59049,223748,1474
2/8/2022,577801,395625,405196,420717,674551,357005
2/9/2021,61949,59554,63269,60415,235836,1534
2/9/2022,578132,395791,405311,420811,674634,357569
3/1/2021,83872,78075,83273,86200,415358,2675
3/10/2021,94247,86387,92337,141950,463370,3366
3/11/2021,96328,88123,94111,151848,470078,3490
3/12/2021,98657,89929,96083,160841,475817,3608
3/13/2021,100343,91374,97693,168995,480224,3701
3/14/2021,101602,92469,98869,175185,482994,3769
3/15/2021,103112,93815,100458,183156,487225,3857
3/16/2021,105147,95422,102356,190772,491527,3981
3/17/2021,107749,97768,104969,199542,497132,4138
3/18/2021,110427,100092,107588,207382,502313,4305
3/19/2021,113868,102695,110406,214495,507186,4552
3/2/2021,84708,78831,84106,88124,421582,2723
3/20/2021,116775,105144,113288,219906,511264,4744
3/21/2021,119035,107044,115462,224023,513711,4903
3/22/2021,122288,109944,118631,228572,517079,5188
3/23/2021,126188,113272,122186,233575,520356,5567
3/24/2021,132624,118673,127947,238269,523748,6766
3/25/2021,139866,124439,134162,242602,527096,7975
3/26/2021,146307,129603,139635,246495,529480,9185
3/27/2021,152360,134465,144725,249281,531014,10758
3/28/2021,157549,138352,148912,251115,532002,12184
3/29/2021,165225,144193,155440,253154,533297,13792
3/3/2021,85618,79571,85001,91182,427574,2795
3/30/2021,172954,149988,161847,255498,534711,15468
3/31/2021,181357,156221,169070,258415,536585,17460
3/4/2021,86694,80512,85991,98038,433791,2870
3/5/2021,88303,81618,87197,105909,439205,2992
3/6/2021,89389,82428,88023,112105,443300,3049
3/7/2021,90218,83104,88739,117293,446091,3098
3/8/2021,91322,84016,89727,125362,451617,3168
3/9/2021,92697,85116,90929,132987,457062,3238
4/1/2021,189767,162547,176777,261507,538838,19269
4/10/2021,241448,197940,217040,284538,555118,29858
4/11/2021,244692,200003,219315,285817,555961,30955
4/12/2021,249546,203188,223067,288277,558000,31992
4/13/2021,253897,205882,226109,290241,559513,32977
4/14/2021,258400,208544,229070,292054,560873,33967
4/15/2021,263691,211978,232456,294309,562533,34902
4/16/2021,268122,214924,235620,296338,563976,35758
4/17/2021,271527,217301,238387,297983,565120,36794
4/18/2021,273472,218509,239756,298760,565663,37425
4/19/2021,276910,220852,242261,300390,567087,38193
4/2/2021,196377,167407,182465,264160,540480,20756
4/20/2021,280166,222977,244734,301997,568439,38998
4/21/2021,284386,225771,247532,303872,569997,39924
4/22/2021,288346,228310,250195,305612,571393,40699
4/23/2021,292173,231007,252927,307356,572635,41577
4/24/2021,294576,232580,254562,308514,573454,42315
4/25/2021,296194,233582,255618,309124,573870,42966
4/26/2021,298967,235475,257621,310562,574988,43669
4/27/2021,301884,237347,259733,312013,576238,44324
4/28/2021,304796,239083,261706,313454,577634,45070
4/29/2021,307666,240793,263552,314904,578949,45664
4/3/2021,200977,170741,186460,265993,541688,22012
4/30/2021,310957,242693,265742,316560,580362,46401
4/4/2021,203174,172086,188030,266666,542087,22541
4/5/2021,208771,175727,192269,269194,543896,23643
4/6/2021,215032,179916,197156,272183,546238,24891
4/7/2021,221934,184913,202604,275519,548688,25994
4/8/2021,228670,189691,207808,278911,551380,27075
4/9/2021,235767,194210,212992,282206,553598,28457
5/1/2021,313074,243940,267139,317624,581057,47019
5/10/2021,330344,253856,277440,325687,587943,51015
5/11/2021,332349,254916,278570,326590,588691,51494
5/12/2021,334320,256037,279726,327436,589456,52200
5/13/2021,336390,257199,280940,328326,590166,56892
5/14/2021,338958,258723,282516,329412,591060,61358
5/15/2021,340722,259859,283672,330218,591529,66847
5/16/2021,341957,260560,284403,330714,591857,69929
5/17/2021,344114,261758,285754,331633,592677,72936
5/18/2021,346278,263019,286995,332570,593519,75282
5/19/2021,348574,264313,288373,333640,594298,78599
5/2/2021,314495,244807,268054,318233,581481,47448
5/20/2021,350570,265499,289556,334507,595043,81233
5/21/2021,352896,266863,290946,335464,595769,85130
5/22/2021,354713,267944,292099,336260,596220,88893
5/23/2021,355817,268591,292679,336676,596464,90387
5/24/2021,357572,269541,293614,337446,597079,92338
5/25/2021,359099,270451,294529,338160,597619,93912
5/26/2021,360900,271404,295464,338793,598140,95672
5/27/2021,362411,272322,296331,339456,598644,97463
5/28/2021,364078,273283,297320,340206,599210,99496
5/29/2021,365230,273958,298049,340727,599504,100934
5/3/2021,316415,245864,269212,319211,582443,47866
5/30/2021,365968,274404,298490,341023,599644,101653
5/31/2021,366276,274597,298670,341150,599728,101939
5/4/2021,318932,247301,270710,320402,583597,48368
5/5/2021,321335,248699,272119,321485,584485,48847
5/6/2021,323815,250091,273560,322632,585462,49378
5/7/2021,326120,251504,274971,323748,586429,49901
5/8/2021,327703,252402,275946,324503,586978,50367
5/9/2021,328679,252968,276519,324924,587258,50682
6/1/2021,367820,275508,299557,341732,600208,103521
6/10/2021,378234,281607,305400,345931,603415,114898
6/11/2021,379617,282581,306326,346510,603801,117126
6/12/2021,380554,283258,306973,346835,603968,118566
6/13/2021,380922,283495,307225,346998,604048,118845
6/14/2021,381927,284054,307738,347379,604307,119923
6/15/2021,382913,284660,308262,347737,604543,121063
