date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2021-01-12 00:00:00,50,5,0.1,4,0,0
2021-01-11 00:00:00,113,21,0.1858407079646018,,,
2021-01-10 00:00:00,10,3,0.3,,,
2021-01-09 00:00:00,13,1,0.0769230769230769,,,
2021-01-08 00:00:00,30,6,0.2,2,0,0
2021-01-07 00:00:00,96,15,0.15625,2,0,0
2021-01-06 00:00:00,180,17,0.0944444444444444,2,0,0
2021-01-05 00:00:00,110,10,0.0909090909090909,2,2,1
2021-01-04 00:00:00,293,38,0.1296928327645051,1,1,1
2021-01-03 00:00:00,5,2,0.4,,,
2021-01-02 00:00:00,6,0,0,,,
2021-01-01 00:00:00,8,1,0.125,,,
2020-12-31 00:00:00,27,7,0.2592592592592593,1,0,0
2020-12-30 00:00:00,29,10,0.3448275862068966,,,
2020-12-29 00:00:00,37,13,0.3513513513513514,,,
2020-12-28 00:00:00,48,9,0.1875,,,
2020-12-27 00:00:00,8,2,0.25,,,
2020-12-26 00:00:00,1,1,1,,,
2020-12-24 00:00:00,21,6,0.2857142857142857,,,
2020-12-23 00:00:00,41,12,0.2926829268292683,1,0,0
2020-12-22 00:00:00,23,5,0.2173913043478261,1,1,1
2020-12-21 00:00:00,39,8,0.2051282051282051,3,1,0.3333333333333333
2020-12-20 00:00:00,2,0,0,,,
2020-12-19 00:00:00,4,0,0,,,
2020-12-18 00:00:00,7,0,0,3,0,0
2020-12-17 00:00:00,66,8,0.1212121212121212,,,
2020-12-16 00:00:00,28,5,0.1785714285714286,,,
2020-12-15 00:00:00,47,6,0.1276595744680851,4,4,1
2020-12-14 00:00:00,35,4,0.1142857142857143,,,
2020-12-13 00:00:00,4,0,0,1,1,1
2020-12-12 00:00:00,10,2,0.2,,,
2020-12-11 00:00:00,23,1,0.0434782608695652,,,
2020-12-10 00:00:00,29,6,0.2068965517241379,10,0,0
2020-12-09 00:00:00,39,1,0.0256410256410256,,,
2020-12-08 00:00:00,26,5,0.1923076923076923,,,
2020-12-07 00:00:00,29,5,0.1724137931034483,4,1,0.25
2020-12-06 00:00:00,6,2,0.3333333333333333,,,
2020-12-05 00:00:00,9,3,0.3333333333333333,1,0,0
2020-12-04 00:00:00,14,4,0.2857142857142857,2,0,0
2020-12-03 00:00:00,24,1,0.0416666666666667,1,0,0
2020-12-02 00:00:00,9,3,0.3333333333333333,1,1,1
2020-12-01 00:00:00,14,0,0,1,1,1
2020-11-30 00:00:00,16,3,0.1875,3,0,0
2020-11-29 00:00:00,6,0,0,1,0,0
2020-11-28 00:00:00,6,1,0.1666666666666667,,,
2020-11-27 00:00:00,6,0,0,1,0,0
2020-11-26 00:00:00,1,0,0,,,
2020-11-25 00:00:00,20,2,0.1,1,0,0
2020-11-24 00:00:00,5,1,0.2,4,0,0
2020-11-23 00:00:00,20,2,0.1,5,0,0
2020-11-22 00:00:00,4,1,0.25,,,
2020-11-21 00:00:00,1,1,1,,,
2020-11-20 00:00:00,10,0,0,,,
2020-11-19 00:00:00,65,2,0.0307692307692308,2,0,0
2020-11-18 00:00:00,58,5,0.0862068965517241,2,0,0
2020-11-17 00:00:00,13,0,0,,,
2020-11-16 00:00:00,12,1,0.0833333333333333,,,
2020-11-15 00:00:00,9,0,0,,,
2020-11-14 00:00:00,5,2,0.4,1,0,0
2020-11-13 00:00:00,10,1,0.1,,,
2020-11-12 00:00:00,13,3,0.2307692307692308,,,
2020-11-11 00:00:00,7,2,0.2857142857142857,1,0,0
2020-11-10 00:00:00,12,0,0,1,0,0
2020-11-09 00:00:00,10,0,0,1,0,0
2020-11-08 00:00:00,7,0,0,2,0,0
2020-11-07 00:00:00,5,1,0.2,1,0,0
2020-11-06 00:00:00,14,1,0.0714285714285714,2,0,0
2020-11-05 00:00:00,13,1,0.0769230769230769,,,
2020-11-04 00:00:00,9,1,0.1111111111111111,1,0,0
2020-11-03 00:00:00,32,2,0.0625,1,0,0
2020-11-02 00:00:00,15,1,0.0666666666666667,1,0,0
2020-11-01 00:00:00,2,0,0,,,
2020-10-31 00:00:00,3,0,0,,,
2020-10-30 00:00:00,5,0,0,,,
