date,20-34,35-44,45-54,55-64,65+,<20
9/14/2021,794187,546769,567062,651796,1174516,354013
9/15/2021,795252,547366,567474,652100,1174793,354716
9/16/2021,796579,548074,568062,652500,1175115,355459
9/17/2021,798709,549230,568911,653207,1175552,356715
9/18/2021,800087,549945,569520,653592,1175795,357690
9/19/2021,800840,550334,569823,653793,1175922,358155
9/2/2021,776554,537329,559484,646014,1170493,342932
9/20/2021,801798,550875,570235,654093,1176198,358692
9/21/2021,803432,551677,570852,654534,1176610,359385
9/22/2021,805025,552468,571495,655015,1177002,360297
9/23/2021,806641,553280,572105,655495,1177439,361080
9/24/2021,808484,554242,572900,656079,1178188,362064
9/25/2021,809620,554863,573422,656450,1178724,362839
9/26/2021,810244,555193,573707,656651,1179035,363197
9/27/2021,811633,555914,574308,657101,1179997,363864
9/28/2021,813032,556641,574866,657535,1180888,364725
9/29/2021,814507,557362,575483,657971,1181764,365574
9/3/2021,778590,538548,560432,646740,1171008,344547
9/30/2021,816100,558172,576085,658485,1182630,366245
9/4/2021,779738,539237,561036,647173,1171266,345513
9/5/2021,780548,539686,561425,647450,1171410,346043
9/6/2021,780802,539846,561579,647574,1171483,346203
9/7/2021,782350,540675,562228,648120,1171871,347076
9/8/2021,784159,541601,562943,648659,1172359,348057
9/9/2021,785711,542399,563551,649177,1172723,348907
