pcr_tests,pcr_pos_tests,pcr_positivity,date,ser_tests,ser_pos_tests,ser_positivity
,,,2021-01-21 00:00:00,60411,7480,0.1238185098740296
,,,2021-01-21 00:00:00,1999,782,0.3911955977988995
,,,2021-01-20 00:00:00,55764,7958,0.142708557492289
,,,2021-01-20 00:00:00,1583,604,0.3815540113708149
,,,2021-01-19 00:00:00,60044,8820,0.1468922789954034
,,,2021-01-19 00:00:00,2155,840,0.3897911832946636
,,,2021-01-18 00:00:00,54114,7440,0.1374875263332964
,,,2021-01-18 00:00:00,1535,551,0.358957654723127
,,,2021-01-17 00:00:00,28032,5017,0.1789740296803653
,,,2021-01-17 00:00:00,455,160,0.3516483516483517
,,,2021-01-16 00:00:00,31810,5661,0.1779629047469349
,,,2021-01-16 00:00:00,732,267,0.3647540983606558
,,,2021-01-15 00:00:00,51497,8297,0.1611161815251374
,,,2021-01-15 00:00:00,1872,636,0.3397435897435898
,,,2021-01-14 00:00:00,60726,8677,0.1428877251918454
,,,2021-01-14 00:00:00,1883,620,0.3292618162506638
,,,2021-01-13 00:00:00,58285,9090,0.1559577936004118
,,,2021-01-13 00:00:00,1834,609,0.3320610687022901
,,,2021-01-12 00:00:00,64178,9728,0.1515784225123874
,,,2021-01-12 00:00:00,2149,696,0.3238715681712425
,,,2021-01-11 00:00:00,71687,10692,0.1491483811569741
,,,2021-01-11 00:00:00,1558,575,0.3690629011553274
,,,2021-01-10 00:00:00,32661,5883,0.1801230825755488
,,,2021-01-10 00:00:00,385,118,0.3064935064935065
,,,2021-01-09 00:00:00,39933,7453,0.1866376180101671
,,,2021-01-09 00:00:00,639,185,0.2895148669796558
,,,2021-01-08 00:00:00,59400,9825,0.1654040404040404
,,,2021-01-08 00:00:00,2003,598,0.2985521717423864
,,,2021-01-07 00:00:00,66310,10800,0.1628713617855527
,,,2021-01-07 00:00:00,2100,649,0.3090476190476191
,,,2021-01-06 00:00:00,64060,11486,0.1793006556353419
,,,2021-01-06 00:00:00,2191,669,0.3053400273847558
,,,2021-01-05 00:00:00,67764,12387,0.1827961749601558
,,,2021-01-05 00:00:00,2004,657,0.3278443113772455
,,,2021-01-04 00:00:00,72932,13091,0.1794959688476938
,,,2021-01-04 00:00:00,1796,525,0.2923162583518931
,,,2021-01-03 00:00:00,32431,7263,0.2239523912306127
,,,2021-01-03 00:00:00,509,116,0.2278978388998036
,,,2021-01-02 00:00:00,33386,7637,0.2287485772479483
,,,2021-01-02 00:00:00,676,175,0.2588757396449704
,,,2021-01-01 00:00:00,20576,4438,0.2156881804043546
,,,2021-01-01 00:00:00,356,88,0.2471910112359551
,,,2020-12-31 00:00:00,54298,9681,0.1782938598106744
,,,2020-12-31 00:00:00,1106,289,0.2613019891500904
,,,2020-12-30 00:00:00,63163,11518,0.182353593084559
,,,2020-12-30 00:00:00,1846,512,0.2773564463705309
,,,2020-12-29 00:00:00,63002,12200,0.1936446462017079
,,,2020-12-29 00:00:00,1761,525,0.2981260647359455
,,,2020-12-28 00:00:00,70953,12816,0.18062661198258
,,,2020-12-28 00:00:00,1345,416,0.3092936802973978
,,,2020-12-27 00:00:00,32529,7177,0.2206338959082665
,,,2020-12-27 00:00:00,289,78,0.2698961937716263
,,,2020-12-26 00:00:00,23106,5530,0.2393317752964598
,,,2020-12-26 00:00:00,359,88,0.2451253481894151
,,,2020-12-25 00:00:00,5399,1388,0.2570846453046861
,,,2020-12-25 00:00:00,135,34,0.2518518518518519
,,,2020-12-24 00:00:00,36516,5793,0.158642786723628
,,,2020-12-24 00:00:00,756,178,0.2354497354497355
,,,2020-12-23 00:00:00,58225,8969,0.1540403606698154
,,,2020-12-23 00:00:00,1834,474,0.2584514721919302
,,,2020-12-22 00:00:00,62416,9249,0.1481831581645732
,,,2020-12-22 00:00:00,2035,488,0.2398034398034398
,,,2020-12-21 00:00:00,72964,10180,0.1395208596019955
,,,2020-12-21 00:00:00,1714,414,0.2415402567094516
,,,2020-12-20 00:00:00,27176,4643,0.1708492787753901
,,,2020-12-20 00:00:00,407,98,0.2407862407862408
,,,2020-12-19 00:00:00,36763,6390,0.173816065065419
,,,2020-12-19 00:00:00,721,173,0.2399445214979196
,,,2020-12-18 00:00:00,56189,8596,0.1529836800797309
,,,2020-12-18 00:00:00,1725,432,0.2504347826086957
,,,2020-12-17 00:00:00,63666,9007,0.1414726855778595
,,,2020-12-17 00:00:00,1882,429,0.2279489904357067
,,,2020-12-16 00:00:00,57305,8564,0.1494459471250327
,,,2020-12-16 00:00:00,1939,453,0.2336255801959773
,,,2020-12-15 00:00:00,55830,6466,0.1158158696041555
,,,2020-12-15 00:00:00,1578,396,0.2509505703422053
,,,2020-12-14 00:00:00,67000,9014,0.1345373134328358
,,,2020-12-14 00:00:00,1540,328,0.212987012987013
,,,2020-12-13 00:00:00,25102,4448,0.1771970360927416
,,,2020-12-13 00:00:00,315,74,0.2349206349206349
,,,2020-12-12 00:00:00,24789,5441,0.2194925168421478
,,,2020-12-12 00:00:00,764,156,0.2041884816753927
,,,2020-12-11 00:00:00,47620,7924,0.1664006719865603
,,,2020-12-11 00:00:00,1614,377,0.2335811648079306
,,,2020-12-10 00:00:00,54113,7606,0.1405577218043724
,,,2020-12-10 00:00:00,1975,396,0.2005063291139241
,,,2020-12-09 00:00:00,55279,8417,0.1522639700428734
,,,2020-12-09 00:00:00,2082,478,0.2295869356388089
,,,2020-12-08 00:00:00,58421,8260,0.1413875147635268
,,,2020-12-08 00:00:00,1955,436,0.2230179028132992
,,,2020-12-07 00:00:00,58945,8386,0.142268216133684
,,,2020-12-07 00:00:00,1606,336,0.2092154420921544
,,,2020-12-06 00:00:00,17200,3175,0.184593023255814
,,,2020-12-06 00:00:00,359,108,0.3008356545961003
,,,2020-12-05 00:00:00,26078,4920,0.1886647749060511
,,,2020-12-05 00:00:00,702,125,0.1780626780626781
,,,2020-12-04 00:00:00,45498,6253,0.13743461251044
,,,2020-12-04 00:00:00,1536,297,0.193359375
,,,2020-12-03 00:00:00,56773,7824,0.1378119880929315
,,,2020-12-03 00:00:00,1897,381,0.2008434370057986
,,,2020-12-02 00:00:00,56085,7904,0.1409289471338147
,,,2020-12-02 00:00:00,2112,401,0.1898674242424243
,,,2020-12-01 00:00:00,57043,7826,0.1371947478218186
,,,2020-12-01 00:00:00,2390,444,0.1857740585774059
,,,2020-11-30 00:00:00,60130,8254,0.1372692499584234
,,,2020-11-30 00:00:00,2067,355,0.1717464925012095
,,,2020-11-29 00:00:00,23332,4093,0.1754243099605692
,,,2020-11-29 00:00:00,675,79,0.117037037037037
,,,2020-11-28 00:00:00,24516,4224,0.1722956436612824
,,,2020-11-28 00:00:00,1090,131,0.1201834862385321
,,,2020-11-27 00:00:00,29027,4339,0.1494815172081166
,,,2020-11-27 00:00:00,1071,143,0.1335200746965453
,,,2020-11-26 00:00:00,10798,1808,0.1674384145212077
,,,2020-11-26 00:00:00,236,40,0.1694915254237288
,,,2020-11-25 00:00:00,49696,5636,0.1134095299420477
,,,2020-11-25 00:00:00,1982,289,0.1458123107971746
,,,2020-11-24 00:00:00,53319,5989,0.1123239370580844
,,,2020-11-24 00:00:00,1961,328,0.1672616012238654
,,,2020-11-23 00:00:00,59284,6303,0.1063187369273328
,,,2020-11-23 00:00:00,1796,296,0.1648106904231626
,,,2020-11-22 00:00:00,23893,2791,0.1168124555309086
,,,2020-11-22 00:00:00,582,92,0.1580756013745705
,,,2020-11-21 00:00:00,31882,3597,0.1128222821654852
,,,2020-11-21 00:00:00,1085,124,0.1142857142857143
,,,2020-11-20 00:00:00,46993,4744,0.1009512054986913
,,,2020-11-20 00:00:00,2131,288,0.1351478179258564
,,,2020-11-19 00:00:00,50875,4996,0.0982014742014742
,,,2020-11-19 00:00:00,1453,279,0.1920165175498968
,,,2020-11-18 00:00:00,51698,5034,0.0973732059267283
,,,2020-11-18 00:00:00,2192,355,0.1619525547445256
,,,2020-11-17 00:00:00,49253,4748,0.0964002192759832
,,,2020-11-17 00:00:00,2287,311,0.1359860078705728
,,,2020-11-16 00:00:00,45594,4559,0.0999912269158223
,,,2020-11-16 00:00:00,1770,254,0.1435028248587571
,,,2020-11-15 00:00:00,17327,2001,0.1154845039533676
,,,2020-11-15 00:00:00,871,92,0.1056257175660161
,,,2020-11-14 00:00:00,23184,2697,0.1163302277432712
,,,2020-11-14 00:00:00,1126,157,0.1394316163410302
,,,2020-11-13 00:00:00,35622,3401,0.0954747066419628
,,,2020-11-13 00:00:00,1903,194,0.1019442984760904
,,,2020-11-12 00:00:00,40297,3549,0.0880710722882597
,,,2020-11-12 00:00:00,1581,218,0.137887413029728
,,,2020-11-11 00:00:00,29691,2854,0.0961234043986393
,,,2020-11-11 00:00:00,1536,211,0.1373697916666667
,,,2020-11-10 00:00:00,40496,3426,0.0846009482418017
,,,2020-11-10 00:00:00,1922,253,0.131633714880333
,,,2020-11-09 00:00:00,38023,3248,0.085421981432291
,,,2020-11-09 00:00:00,1737,185,0.1065054691997697
,,,2020-11-08 00:00:00,15130,1640,0.108393919365499
,,,2020-11-08 00:00:00,791,88,0.111251580278129
,,,2020-11-07 00:00:00,19610,2093,0.1067312595614483
,,,2020-11-07 00:00:00,1242,114,0.0917874396135266
,,,2020-11-06 00:00:00,33339,2711,0.0813161762500375
,,,2020-11-06 00:00:00,1758,202,0.1149032992036405
,,,2020-11-05 00:00:00,36519,2828,0.0774391412689285
,,,2020-11-05 00:00:00,1464,192,0.1311475409836066
,,,2020-11-04 00:00:00,37175,2798,0.0752656355077337
,,,2020-11-04 00:00:00,1529,198,0.1294964028776979
,,,2020-11-03 00:00:00,36520,2437,0.0667305585980285
,,,2020-11-03 00:00:00,1836,239,0.1301742919389978
,,,2020-11-02 00:00:00,34708,2505,0.0721735622911144
,,,2020-11-02 00:00:00,1689,173,0.1024274718768502
,,,2020-11-01 00:00:00,12473,1118,0.0896336085945643
,,,2020-11-01 00:00:00,669,55,0.0822122571001495
,,,2020-10-31 00:00:00,13795,1233,0.0893802102210946
,,,2020-10-31 00:00:00,979,102,0.1041879468845761
,,,2020-10-30 00:00:00,26269,1638,0.0623548669534432
,,,2020-10-30 00:00:00,1841,193,0.1048343291689299
,,,2020-10-29 00:00:00,31226,2169,0.0694613463139691
,,,2020-10-29 00:00:00,1905,188,0.0986876640419948
,,,2020-10-28 00:00:00,29644,1736,0.0585615976251518
