pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,date,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
,,,2020-12-14 00:00:00,86,15,0.1744186046511628
,,,2020-12-13 00:00:00,1351,289,0.2139156180606958
,,,2020-12-13 00:00:00,15,4,0.2666666666666667
,,,2020-12-12 00:00:00,1162,292,0.2512908777969019
,,,2020-12-12 00:00:00,79,15,0.189873417721519
,,,2020-12-11 00:00:00,3315,494,0.1490196078431373
,,,2020-12-11 00:00:00,51,15,0.2941176470588236
,,,2020-12-10 00:00:00,2458,450,0.1830756712774614
,,,2020-12-10 00:00:00,73,11,0.1506849315068493
,,,2020-12-09 00:00:00,2924,603,0.2062243502051984
,,,2020-12-09 00:00:00,79,24,0.3037974683544304
,,,2020-12-08 00:00:00,3930,579,0.1473282442748092
,,,2020-12-08 00:00:00,99,16,0.1616161616161616
,,,2020-12-07 00:00:00,3359,538,0.1601667162846085
,,,2020-12-07 00:00:00,66,12,0.1818181818181818
,,,2020-12-06 00:00:00,817,176,0.215422276621787
,,,2020-12-06 00:00:00,30,4,0.1333333333333333
,,,2020-12-05 00:00:00,1560,257,0.1647435897435898
,,,2020-12-05 00:00:00,24,5,0.2083333333333334
,,,2020-12-04 00:00:00,2335,384,0.1644539614561028
,,,2020-12-04 00:00:00,56,14,0.25
,,,2020-12-03 00:00:00,3116,530,0.1700898587933248
,,,2020-12-03 00:00:00,102,25,0.2450980392156863
,,,2020-12-02 00:00:00,3329,497,0.1492940823069991
,,,2020-12-02 00:00:00,101,21,0.2079207920792079
,,,2020-12-01 00:00:00,3635,535,0.1471801925722146
,,,2020-12-01 00:00:00,162,31,0.191358024691358
,,,2020-11-30 00:00:00,3083,458,0.1485566007135907
,,,2020-11-30 00:00:00,141,16,0.1134751773049645
,,,2020-11-29 00:00:00,1457,277,0.1901166781056966
,,,2020-11-29 00:00:00,67,6,0.0895522388059702
,,,2020-11-28 00:00:00,1514,287,0.1895640686922061
,,,2020-11-28 00:00:00,132,10,0.0757575757575758
,,,2020-11-27 00:00:00,1571,234,0.1489497135582432
,,,2020-11-27 00:00:00,94,9,0.0957446808510638
,,,2020-11-26 00:00:00,689,118,0.1712626995645864
,,,2020-11-26 00:00:00,12,2,0.1666666666666667
,,,2020-11-25 00:00:00,2619,339,0.1294387170675831
,,,2020-11-25 00:00:00,97,12,0.1237113402061856
,,,2020-11-24 00:00:00,2864,339,0.1183659217877095
,,,2020-11-24 00:00:00,102,13,0.1274509803921569
,,,2020-11-23 00:00:00,2877,392,0.1362530413625304
,,,2020-11-23 00:00:00,83,11,0.1325301204819277
,,,2020-11-22 00:00:00,1235,164,0.1327935222672065
,,,2020-11-22 00:00:00,48,7,0.1458333333333334
,,,2020-11-21 00:00:00,1679,188,0.1119714115544967
,,,2020-11-21 00:00:00,78,5,0.0641025641025641
,,,2020-11-20 00:00:00,2759,298,0.1080101486045669
,,,2020-11-20 00:00:00,137,21,0.1532846715328467
,,,2020-11-19 00:00:00,2789,305,0.1093581929006813
,,,2020-11-19 00:00:00,61,11,0.180327868852459
,,,2020-11-18 00:00:00,2548,300,0.1177394034536892
,,,2020-11-18 00:00:00,99,19,0.1919191919191919
,,,2020-11-17 00:00:00,2743,316,0.1152023332118119
,,,2020-11-17 00:00:00,120,16,0.1333333333333333
,,,2020-11-16 00:00:00,3070,268,0.0872964169381107
,,,2020-11-16 00:00:00,119,10,0.0840336134453782
,,,2020-11-15 00:00:00,911,116,0.1273326015367728
,,,2020-11-15 00:00:00,73,2,0.0273972602739726
,,,2020-11-14 00:00:00,1299,189,0.1454965357967668
,,,2020-11-14 00:00:00,125,10,0.08
,,,2020-11-13 00:00:00,2236,220,0.0983899821109124
,,,2020-11-13 00:00:00,184,17,0.0923913043478261
,,,2020-11-12 00:00:00,1986,211,0.1062437059415911
,,,2020-11-12 00:00:00,92,11,0.1195652173913044
,,,2020-11-11 00:00:00,1854,184,0.0992448759439051
,,,2020-11-11 00:00:00,105,7,0.0666666666666667
,,,2020-11-10 00:00:00,2143,182,0.0849276714885674
,,,2020-11-10 00:00:00,94,9,0.0957446808510638
,,,2020-11-09 00:00:00,2235,181,0.0809843400447427
,,,2020-11-09 00:00:00,143,11,0.0769230769230769
,,,2020-11-08 00:00:00,1070,117,0.1093457943925234
,,,2020-11-08 00:00:00,76,5,0.0657894736842105
,,,2020-11-07 00:00:00,1033,133,0.1287512100677638
,,,2020-11-07 00:00:00,78,3,0.0384615384615385
,,,2020-11-06 00:00:00,2100,148,0.0704761904761905
,,,2020-11-06 00:00:00,121,15,0.1239669421487603
,,,2020-11-05 00:00:00,1803,135,0.0748752079866889
,,,2020-11-05 00:00:00,71,11,0.1549295774647887
,,,2020-11-04 00:00:00,2034,175,0.0860373647984268
,,,2020-11-04 00:00:00,81,14,0.1728395061728395
,,,2020-11-03 00:00:00,1939,154,0.0794223826714802
,,,2020-11-03 00:00:00,118,16,0.1355932203389831
,,,2020-11-02 00:00:00,2232,150,0.0672043010752688
,,,2020-11-02 00:00:00,136,9,0.0661764705882353
,,,2020-11-01 00:00:00,786,81,0.1030534351145038
,,,2020-11-01 00:00:00,67,2,0.0298507462686567
,,,2020-10-31 00:00:00,825,100,0.1212121212121212
,,,2020-10-31 00:00:00,125,8,0.064
,,,2020-10-30 00:00:00,1661,120,0.0722456351595425
,,,2020-10-30 00:00:00,130,8,0.0615384615384615
,,,2020-10-29 00:00:00,2772,417,0.1504329004329005
