date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2021-03-25 00:00:00,85,12,0.1411764705882353,1.0,0.0,0
2021-03-24 00:00:00,125,6,0.048,1.0,0.0,0
2021-03-23 00:00:00,90,8,0.0888888888888889,5.0,0.0,0
2021-03-22 00:00:00,98,4,0.0408163265306122,1.0,0.0,0
2021-03-21 00:00:00,23,3,0.1304347826086957,,,
2021-03-20 00:00:00,29,1,0.0344827586206897,,,
2021-03-19 00:00:00,89,5,0.0561797752808989,8.0,0.0,0
2021-03-18 00:00:00,115,8,0.0695652173913044,2.0,1.0,0.5
2021-03-17 00:00:00,246,2,0.008130081300813,3.0,1.0,0.3333333333333333
2021-03-16 00:00:00,146,8,0.0547945205479452,2.0,2.0,1
2021-03-15 00:00:00,96,5,0.0520833333333333,2.0,1.0,0.5
2021-03-14 00:00:00,15,1,0.0666666666666667,,,
2021-03-13 00:00:00,23,0,0,,,
2021-03-12 00:00:00,94,4,0.0425531914893617,,,
2021-03-11 00:00:00,100,10,0.1,1.0,0.0,0
2021-03-10 00:00:00,113,2,0.0176991150442478,1.0,0.0,0
2021-03-09 00:00:00,77,6,0.0779220779220779,2.0,1.0,0.5
2021-03-08 00:00:00,94,1,0.0106382978723404,2.0,1.0,0.5
2021-03-07 00:00:00,36,3,0.0833333333333333,,,
2021-03-06 00:00:00,24,0,0,1.0,0.0,0
2021-03-05 00:00:00,115,5,0.0434782608695652,2.0,0.0,0
2021-03-04 00:00:00,86,3,0.0348837209302326,2.0,1.0,0.5
2021-03-03 00:00:00,314,13,0.0414012738853503,1.0,1.0,1
2021-03-02 00:00:00,95,5,0.0526315789473684,,,
2021-03-01 00:00:00,99,2,0.0202020202020202,1.0,1.0,1
2021-02-28 00:00:00,26,1,0.0384615384615385,,,
2021-02-27 00:00:00,30,1,0.0333333333333333,,,
2021-02-26 00:00:00,110,2,0.0181818181818182,7.0,5.0,0.7142857142857144
2021-02-25 00:00:00,98,0,0,2.0,0.0,0
2021-02-24 00:00:00,405,8,0.0197530864197531,1.0,1.0,1
2021-02-23 00:00:00,131,7,0.0534351145038168,,,
2021-02-22 00:00:00,113,8,0.0707964601769912,6.0,3.0,0.5
2021-02-21 00:00:00,32,2,0.0625,,,
2021-02-20 00:00:00,34,1,0.0294117647058824,,,
2021-02-19 00:00:00,129,6,0.0465116279069767,1.0,0.0,0
2021-02-18 00:00:00,102,5,0.0490196078431373,2.0,2.0,1
2021-02-17 00:00:00,144,13,0.0902777777777778,1.0,1.0,1
2021-02-16 00:00:00,127,11,0.0866141732283465,2.0,1.0,0.5
2021-02-15 00:00:00,75,7,0.0933333333333333,,,
2021-02-14 00:00:00,27,5,0.1851851851851852,,,
2021-02-13 00:00:00,31,5,0.1612903225806452,1.0,1.0,1
2021-02-12 00:00:00,150,10,0.0666666666666667,7.0,5.0,0.7142857142857144
2021-02-11 00:00:00,136,6,0.0441176470588235,2.0,0.0,0
2021-02-10 00:00:00,440,23,0.0522727272727273,2.0,2.0,1
2021-02-09 00:00:00,152,9,0.0592105263157895,1.0,0.0,0
2021-02-08 00:00:00,156,12,0.0769230769230769,2.0,1.0,0.5
2021-02-07 00:00:00,40,3,0.075,,,
2021-02-06 00:00:00,39,5,0.1282051282051282,,,
2021-02-05 00:00:00,122,5,0.040983606557377,15.0,9.0,0.6
2021-02-04 00:00:00,118,14,0.1186440677966102,3.0,1.0,0.3333333333333333
2021-02-03 00:00:00,124,11,0.0887096774193548,6.0,3.0,0.5
2021-02-02 00:00:00,156,17,0.108974358974359,3.0,1.0,0.3333333333333333
2021-02-01 00:00:00,130,17,0.1307692307692308,12.0,8.0,0.6666666666666666
2021-01-31 00:00:00,46,4,0.0869565217391304,1.0,1.0,1
2021-01-30 00:00:00,47,5,0.1063829787234043,,,
2021-01-29 00:00:00,139,14,0.1007194244604317,2.0,2.0,1
2021-01-28 00:00:00,151,17,0.1125827814569537,4.0,3.0,0.75
2021-01-27 00:00:00,345,23,0.0666666666666667,5.0,5.0,1
2021-01-26 00:00:00,99,16,0.1616161616161616,2.0,2.0,1
2021-01-25 00:00:00,173,25,0.1445086705202312,3.0,0.0,0
2021-01-24 00:00:00,46,7,0.1521739130434783,,,
2021-01-23 00:00:00,62,17,0.2741935483870968,,,
2021-01-22 00:00:00,235,42,0.1787234042553192,2.0,1.0,0.5
2021-01-21 00:00:00,207,38,0.1835748792270532,10.0,6.0,0.6
2021-01-20 00:00:00,257,51,0.198443579766537,1.0,0.0,0
2021-01-19 00:00:00,244,44,0.180327868852459,4.0,1.0,0.25
2021-01-18 00:00:00,85,18,0.211764705882353,2.0,1.0,0.5
2021-01-17 00:00:00,76,23,0.3026315789473684,,,
2021-01-16 00:00:00,74,15,0.2027027027027027,,,
2021-01-15 00:00:00,238,36,0.1512605042016807,2.0,1.0,0.5
2021-01-14 00:00:00,239,59,0.2468619246861925,7.0,3.0,0.4285714285714286
2021-01-13 00:00:00,255,45,0.1764705882352941,3.0,1.0,0.3333333333333333
2021-01-12 00:00:00,675,73,0.1081481481481482,7.0,3.0,0.4285714285714286
2021-01-11 00:00:00,274,63,0.2299270072992701,9.0,4.0,0.4444444444444444
2021-01-10 00:00:00,94,22,0.2340425531914894,1.0,0.0,0
2021-01-09 00:00:00,113,21,0.1858407079646018,,,
2021-01-08 00:00:00,411,81,0.1970802919708029,6.0,2.0,0.3333333333333333
2021-01-07 00:00:00,364,75,0.206043956043956,1.0,0.0,0
2021-01-06 00:00:00,575,80,0.1391304347826087,10.0,4.0,0.4
2021-01-05 00:00:00,377,87,0.2307692307692308,8.0,5.0,0.625
2021-01-04 00:00:00,461,112,0.2429501084598699,5.0,3.0,0.6
2021-01-03 00:00:00,104,32,0.3076923076923077,3.0,2.0,0.6666666666666666
2021-01-02 00:00:00,135,27,0.2,,,
2021-01-01 00:00:00,57,10,0.1754385964912281,,,
2020-12-31 00:00:00,270,77,0.2851851851851852,5.0,1.0,0.2
2020-12-30 00:00:00,650,115,0.1769230769230769,2.0,1.0,0.5
2020-12-29 00:00:00,393,99,0.2519083969465649,3.0,3.0,1
2020-12-28 00:00:00,475,124,0.2610526315789474,2.0,2.0,1
2020-12-27 00:00:00,98,39,0.3979591836734694,2.0,0.0,0
2020-12-26 00:00:00,127,37,0.2913385826771654,,,
2020-12-25 00:00:00,19,5,0.2631578947368421,,,
2020-12-24 00:00:00,189,48,0.253968253968254,2.0,0.0,0
2020-12-23 00:00:00,313,70,0.2236421725239617,3.0,2.0,0.6666666666666666
2020-12-22 00:00:00,322,71,0.2204968944099379,3.0,1.0,0.3333333333333333
2020-12-21 00:00:00,403,85,0.2109181141439206,8.0,2.0,0.25
2020-12-20 00:00:00,121,29,0.2396694214876033,2.0,0.0,0
2020-12-19 00:00:00,114,34,0.2982456140350877,1.0,0.0,0
2020-12-18 00:00:00,393,69,0.1755725190839695,7.0,2.0,0.2857142857142857
2020-12-17 00:00:00,401,86,0.2144638403990025,7.0,3.0,0.4285714285714286
2020-12-16 00:00:00,459,86,0.187363834422658,3.0,2.0,0.6666666666666666
2020-12-15 00:00:00,306,66,0.2156862745098039,5.0,0.0,0
2020-12-14 00:00:00,377,102,0.2705570291777189,5.0,0.0,0
