date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
4/27/2021,17083,9658,9286,11165,17971,2423
4/28/2021,17232,9705,9338,11207,18013,2453
4/29/2021,17321,9733,9361,11238,18038,2473
4/3/2021,14428,8644,8364,10185,17080,1665
4/30/2021,17426,9759,9398,11284,18079,2493
4/4/2021,14446,8648,8371,10190,17092,1672
4/5/2021,14630,8720,8433,10243,17151,1692
4/6/2021,14858,8805,8514,10330,17239,1718
4/7/2021,15048,8887,8576,10432,17304,1745
4/8/2021,15250,8983,8671,10506,17389,1774
4/9/2021,15463,9085,8743,10595,17460,1810
5/1/2021,17476,9778,9405,11290,18093,2507
5/10/2021,17967,9952,9555,11448,18209,2646
5/11/2021,18018,9960,9575,11462,18221,2660
5/12/2021,18081,9980,9598,11485,18237,2695
5/13/2021,18141,10005,9623,11510,18257,2997
5/14/2021,18226,10041,9646,11544,18283,3434
5/15/2021,18267,10060,9661,11560,18298,3582
5/16/2021,18285,10068,9666,11566,18301,3599
5/17/2021,18359,10099,9686,11589,18315,3741
5/18/2021,18424,10120,9709,11599,18332,3807
5/19/2021,18504,10157,9738,11625,18361,4048
5/2/2021,17504,9783,9408,11300,18097,2514
5/20/2021,18557,10181,9753,11639,18375,4146
5/21/2021,18614,10206,9773,11653,18393,4328
5/22/2021,18665,10222,9787,11660,18401,4442
5/23/2021,18675,10227,9793,11665,18402,4455
5/24/2021,18720,10238,9803,11680,18409,4498
5/25/2021,18776,10254,9818,11692,18413,4523
5/26/2021,18866,10276,9840,11704,18434,4625
5/27/2021,18911,10292,9856,11723,18441,4661
5/28/2021,18957,10313,9874,11735,18451,4774
5/29/2021,18990,10321,9880,11739,18457,4798
5/3/2021,17553,9799,9428,11313,18101,2528
5/30/2021,18999,10323,9886,11740,18461,4805
5/31/2021,19000,10325,9886,11742,18463,4805
5/4/2021,17632,9832,9446,11340,18116,2549
5/5/2021,17706,9870,9466,11366,18138,2571
5/6/2021,17764,9888,9494,11382,18160,2592
5/7/2021,17866,9918,9522,11409,18177,2614
5/8/2021,17892,9929,9538,11429,18183,2631
5/9/2021,17918,9933,9542,11433,18185,2637
6/1/2021,19046,10340,9896,11757,18469,4820
6/10/2021,19359,10460,9996,11844,18537,5227
6/11/2021,19416,10481,10009,11855,18549,5310
6/12/2021,19434,10488,10016,11858,18554,5320
6/13/2021,19437,10489,10020,11864,18555,5320
6/14/2021,19477,10500,10031,11876,18563,5356
6/15/2021,19506,10503,10042,11883,18569,5378
6/16/2021,19550,10514,10055,11890,18574,5448
6/17/2021,19587,10529,10064,11904,18578,5487
6/18/2021,19633,10539,10080,11917,18588,5520
6/19/2021,19650,10544,10087,11921,18593,5539
6/2/2021,19083,10367,9912,11775,18479,4906
6/20/2021,19661,10549,10089,11922,18595,5547
6/21/2021,19690,10552,10095,11929,18597,5575
6/22/2021,19709,10558,10102,11934,18606,5590
6/23/2021,19758,10567,10118,11939,18608,5638
6/24/2021,19783,10572,10130,11944,18616,5658
6/25/2021,19819,10584,10137,11956,18620,5698
6/26/2021,19828,10587,10141,11962,18621,5705
6/27/2021,19836,10591,10143,11963,18622,5714
6/28/2021,19861,10601,10158,11975,18624,5751
6/29/2021,19890,10614,10164,11982,18627,5770
6/3/2021,19122,10378,9922,11788,18488,4941
6/30/2021,19919,10624,10174,12000,18638,5825
6/4/2021,19169,10394,9938,11805,18494,5018
6/5/2021,19204,10404,9949,11808,18500,5051
6/6/2021,19215,10405,9952,11809,18500,5061
6/7/2021,19240,10412,9967,11816,18506,5096
6/8/2021,19278,10424,9978,11822,18514,5112
6/9/2021,19330,10445,9986,11833,18526,5185
7/1/2021,19938,10638,10183,12004,18644,5843
7/10/2021,20120,10734,10262,12073,18697,6116
7/11/2021,20126,10736,10264,12076,18698,6118
7/12/2021,20156,10751,10273,12087,18704,6146
7/13/2021,20169,10760,10279,12091,18707,6168
7/14/2021,20191,10773,10289,12098,18715,6205
7/15/2021,20235,10789,10301,12116,18721,6241
7/16/2021,20269,10806,10320,12124,18731,6300
7/17/2021,20284,10812,10324,12130,18733,6321
7/18/2021,20292,10817,10326,12133,18733,6322
7/19/2021,20315,10826,10331,12145,18739,6370
7/2/2021,19967,10656,10195,12013,18652,5890
7/20/2021,20359,10852,10346,12153,18745,6395
7/21/2021,20387,10869,10365,12163,18757,6432
7/22/2021,20415,10887,10380,12177,18767,6460
7/23/2021,20444,10906,10393,12193,18770,6517
7/24/2021,20480,10913,10400,12199,18778,6532
7/25/2021,20490,10920,10407,12205,18779,6542
7/26/2021,20526,10935,10419,12218,18795,6601
7/27/2021,20549,10948,10432,12231,18803,6636
7/28/2021,20579,10968,10449,12250,18814,6712
7/29/2021,20628,10996,10465,12259,18826,6753
7/3/2021,19983,10667,10203,12018,18655,5902
7/30/2021,20682,11018,10481,12274,18833,6805
7/31/2021,20720,11024,10494,12278,18840,6830
7/4/2021,19984,10669,10203,12019,18656,5902
7/5/2021,19997,10678,10206,12028,18665,5912
7/6/2021,20019,10685,10214,12036,18672,5935
7/7/2021,20043,10697,10227,12048,18680,5985
7/8/2021,20060,10707,10233,12054,18682,6010
7/9/2021,20085,10720,10247,12060,18688,6056
8/1/2021,20732,11028,10502,12282,18843,6844
8/10/2021,21099,11197,10643,12395,18928,7299
8/11/2021,21153,11229,10671,12407,18941,7357
8/12/2021,21219,11255,10687,12421,18955,7381
8/13/2021,21277,11272,10706,12437,18968,7430
8/14/2021,21293,11284,10716,12444,18970,7473
8/15/2021,21307,11290,10722,12448,18974,7486
8/16/2021,21338,11302,10730,12457,18985,7510
8/17/2021,21368,11315,10737,12470,18988,7522
8/18/2021,21415,11334,10757,12492,19005,7552
8/19/2021,21470,11343,10775,12503,19017,7576
8/2/2021,20771,11039,10519,12300,18850,6912
8/20/2021,21505,11362,10789,12515,19025,7605
8/21/2021,21527,11373,10796,12522,19027,7623
8/22/2021,21536,11382,10797,12524,19028,7628
8/23/2021,21573,11398,10805,12535,19032,7643
8/24/2021,21618,11412,10815,12540,19043,7669
8/25/2021,21647,11425,10827,12549,19050,7690
8/26/2021,21684,11442,10837,12557,19058,7713
8/27/2021,21731,11455,10848,12571,19066,7740
8/28/2021,21758,11466,10851,12574,19068,7761
8/29/2021,21771,11475,10851,12578,19071,7767
8/3/2021,20812,11056,10536,12307,18855,6948
8/30/2021,21795,11487,10860,12583,19073,7782
8/31/2021,21813,11494,10863,12589,19078,7791
8/4/2021,20864,11089,10557,12323,18870,7033
8/5/2021,20913,11111,10572,12333,18880,7066
