pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,date,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA
,,,2021-03-12 00:00:00,1044,491,0.4703065134099618
,,,2021-03-11 00:00:00,15886,549,0.0345587309580763
,,,2021-03-11 00:00:00,960,493,0.5135416666666668
,,,2021-03-10 00:00:00,17461,660,0.0377985224213963
,,,2021-03-10 00:00:00,1488,667,0.448252688172043
,,,2021-03-09 00:00:00,17575,617,0.0351066856330014
,,,2021-03-09 00:00:00,1286,603,0.468895800933126
,,,2021-03-08 00:00:00,21929,789,0.0359797528387067
,,,2021-03-08 00:00:00,799,366,0.458072590738423
,,,2021-03-07 00:00:00,7755,412,0.0531270148291425
,,,2021-03-07 00:00:00,291,131,0.450171821305842
,,,2021-03-06 00:00:00,8617,521,0.0604618776836486
,,,2021-03-06 00:00:00,603,279,0.4626865671641792
,,,2021-03-05 00:00:00,15605,775,0.0496635693687921
,,,2021-03-05 00:00:00,972,471,0.484567901234568
,,,2021-03-04 00:00:00,20143,718,0.03564513726853
,,,2021-03-04 00:00:00,1119,502,0.4486148346738159
,,,2021-03-03 00:00:00,20589,816,0.0396328136383506
,,,2021-03-03 00:00:00,1209,583,0.4822167080231596
,,,2021-03-02 00:00:00,21589,829,0.0383991847700218
,,,2021-03-02 00:00:00,1302,614,0.4715821812596006
,,,2021-03-01 00:00:00,22571,894,0.0396083469939303
,,,2021-03-01 00:00:00,750,350,0.4666666666666668
,,,2021-02-28 00:00:00,8128,519,0.0638533464566929
,,,2021-02-28 00:00:00,314,143,0.4554140127388536
,,,2021-02-27 00:00:00,8834,666,0.0753905365632782
,,,2021-02-27 00:00:00,677,308,0.4549483013293944
,,,2021-02-26 00:00:00,15680,892,0.0568877551020408
,,,2021-02-26 00:00:00,985,474,0.4812182741116752
,,,2021-02-25 00:00:00,20475,897,0.0438095238095238
,,,2021-02-25 00:00:00,1313,585,0.4455445544554456
,,,2021-02-24 00:00:00,18750,1011,0.05392
,,,2021-02-24 00:00:00,1513,725,0.4791804362194316
,,,2021-02-23 00:00:00,20266,972,0.0479621040165795
,,,2021-02-23 00:00:00,1595,763,0.4783699059561128
,,,2021-02-22 00:00:00,25183,1164,0.0462216574673391
,,,2021-02-22 00:00:00,953,431,0.4522560335781742
,,,2021-02-21 00:00:00,8930,719,0.080515117581187
,,,2021-02-21 00:00:00,413,176,0.4261501210653753
,,,2021-02-20 00:00:00,10066,897,0.0891118617126962
,,,2021-02-20 00:00:00,735,315,0.4285714285714286
,,,2021-02-19 00:00:00,16493,1175,0.0712423452373734
,,,2021-02-19 00:00:00,1109,507,0.4571686203787196
,,,2021-02-18 00:00:00,22856,1410,0.0616905845292265
,,,2021-02-18 00:00:00,1360,614,0.4514705882352942
,,,2021-02-17 00:00:00,21063,1479,0.0702179176755448
,,,2021-02-17 00:00:00,1736,746,0.4297235023041475
,,,2021-02-16 00:00:00,22336,1488,0.0666189111747851
,,,2021-02-16 00:00:00,1400,629,0.4492857142857143
,,,2021-02-15 00:00:00,22193,1517,0.0683548866759789
,,,2021-02-15 00:00:00,1030,440,0.4271844660194175
,,,2021-02-14 00:00:00,8331,655,0.0786220141639659
,,,2021-02-14 00:00:00,396,150,0.3787878787878788
,,,2021-02-13 00:00:00,10471,923,0.0881482188902684
,,,2021-02-13 00:00:00,678,296,0.4365781710914454
,,,2021-02-12 00:00:00,17697,1233,0.0696728259026954
,,,2021-02-12 00:00:00,1370,616,0.4496350364963504
,,,2021-02-11 00:00:00,23796,1327,0.0557656749033451
,,,2021-02-11 00:00:00,1497,573,0.3827655310621243
,,,2021-02-10 00:00:00,23865,1542,0.0646134506599623
,,,2021-02-10 00:00:00,1089,519,0.4765840220385676
,,,2021-02-09 00:00:00,22661,1501,0.0662371475221747
,,,2021-02-09 00:00:00,1391,579,0.4162473040977714
,,,2021-02-08 00:00:00,30158,1861,0.0617083360965581
,,,2021-02-08 00:00:00,1112,473,0.4253597122302159
,,,2021-02-07 00:00:00,10579,1028,0.0971736459022592
