date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2020-07-01 00:00:00,85,9,0.1058823529411765,,,
2020-06-30 00:00:00,133,8,0.0601503759398496,1.0,0.0,0
2020-06-29 00:00:00,154,20,0.1298701298701299,1.0,0.0,0
2020-06-28 00:00:00,8,1,0.125,,,
2020-06-27 00:00:00,17,4,0.2352941176470588,,,
2020-06-26 00:00:00,62,10,0.1612903225806452,1.0,0.0,0
2020-06-25 00:00:00,71,6,0.0845070422535211,23.0,0.0,0
2020-06-24 00:00:00,68,7,0.1029411764705882,49.0,1.0,0.0204081632653061
2020-06-23 00:00:00,82,15,0.1829268292682927,63.0,2.0,0.0317460317460317
2020-06-22 00:00:00,95,22,0.2315789473684211,50.0,2.0,0.04
2020-06-21 00:00:00,7,2,0.2857142857142857,,,
2020-06-20 00:00:00,11,1,0.0909090909090909,1.0,0.0,0
2020-06-19 00:00:00,68,6,0.0882352941176471,2.0,0.0,0
2020-06-18 00:00:00,114,10,0.087719298245614,1.0,0.0,0
2020-06-17 00:00:00,83,13,0.1566265060240964,2.0,0.0,0
2020-06-16 00:00:00,81,10,0.1234567901234568,8.0,2.0,0.25
2020-06-15 00:00:00,80,14,0.175,8.0,0.0,0
2020-06-14 00:00:00,5,0,0,1.0,0.0,0
2020-06-13 00:00:00,4,2,0.5,,,
2020-06-12 00:00:00,79,9,0.1139240506329114,8.0,0.0,0
2020-06-11 00:00:00,260,14,0.0538461538461539,236.0,6.0,0.0254237288135593
2020-06-10 00:00:00,429,22,0.0512820512820513,211.0,3.0,0.014218009478673
2020-06-09 00:00:00,36,4,0.1111111111111111,5.0,0.0,0
2020-06-08 00:00:00,41,13,0.3170731707317073,6.0,0.0,0
2020-06-07 00:00:00,4,0,0,1.0,0.0,0
2020-06-06 00:00:00,2,0,0,1.0,0.0,0
2020-06-05 00:00:00,219,13,0.0593607305936073,11.0,0.0,0
2020-06-04 00:00:00,59,19,0.3220338983050847,3.0,0.0,0
2020-06-03 00:00:00,41,8,0.1951219512195122,5.0,0.0,0
2020-06-02 00:00:00,163,24,0.147239263803681,5.0,0.0,0
2020-06-01 00:00:00,81,14,0.1728395061728395,16.0,0.0,0
2020-05-31 00:00:00,4,0,0,,,
2020-05-30 00:00:00,158,3,0.0189873417721519,2.0,0.0,0
2020-05-29 00:00:00,426,24,0.0563380281690141,7.0,0.0,0
2020-05-28 00:00:00,96,8,0.0833333333333333,10.0,0.0,0
2020-05-27 00:00:00,46,16,0.3478260869565218,8.0,0.0,0
2020-05-26 00:00:00,14,1,0.0714285714285714,9.0,0.0,0
2020-05-25 00:00:00,7,0,0,1.0,0.0,0
2020-05-24 00:00:00,7,0,0,,,
2020-05-23 00:00:00,10,1,0.1,1.0,0.0,0
2020-05-22 00:00:00,10,0,0,13.0,0.0,0
2020-05-21 00:00:00,11,1,0.0909090909090909,7.0,0.0,0
2020-05-20 00:00:00,161,3,0.0186335403726708,209.0,1.0,0.0047846889952153
2020-05-19 00:00:00,14,1,0.0714285714285714,8.0,1.0,0.125
2020-05-18 00:00:00,7,2,0.2857142857142857,8.0,0.0,0
2020-05-17 00:00:00,5,0,0,2.0,0.0,0
2020-05-16 00:00:00,34,3,0.0882352941176471,,,
2020-05-15 00:00:00,21,0,0,6.0,0.0,0
2020-05-14 00:00:00,7,0,0,3.0,0.0,0
2020-05-13 00:00:00,15,2,0.1333333333333333,2.0,0.0,0
2020-05-12 00:00:00,38,13,0.3421052631578948,2.0,0.0,0
2020-05-11 00:00:00,8,0,0,1.0,0.0,0
2020-05-10 00:00:00,3,1,0.3333333333333333,2.0,0.0,0
2020-05-09 00:00:00,6,0,0,,,
2020-05-08 00:00:00,18,0,0,12.0,0.0,0
2020-05-07 00:00:00,9,0,0,1.0,0.0,0
2020-05-06 00:00:00,281,0,0,238.0,2.0,0.0084033613445378
2020-05-05 00:00:00,14,2,0.1428571428571429,1.0,0.0,0
2020-05-04 00:00:00,20,1,0.05,3.0,0.0,0
2020-05-03 00:00:00,6,0,0,,,
2020-05-02 00:00:00,8,0,0,1.0,0.0,0
2020-05-01 00:00:00,9,1,0.1111111111111111,1.0,0.0,0
2020-04-30 00:00:00,9,0,0,,,
2020-04-29 00:00:00,3,1,0.3333333333333333,,,
2020-04-28 00:00:00,2,0,0,,,
2020-04-27 00:00:00,2,0,0,,,
2020-04-25 00:00:00,14,0,0,,,
2020-04-24 00:00:00,19,0,0,,,
2020-04-23 00:00:00,14,0,0,,,
2020-04-22 00:00:00,6,0,0,,,
2020-04-21 00:00:00,6,0,0,,,
2020-04-20 00:00:00,1,0,0,,,
2020-04-19 00:00:00,3,0,0,,,
2020-04-18 00:00:00,2,0,0,,,
2020-04-17 00:00:00,2,0,0,,,
2020-04-16 00:00:00,2,0,0,,,
2020-04-14 00:00:00,2,0,0,,,
2020-04-13 00:00:00,4,0,0,,,
2020-04-12 00:00:00,4,1,0.25,,,
2020-04-10 00:00:00,2,0,0,,,
2020-04-09 00:00:00,2,0,0,,,
2020-04-08 00:00:00,1,0,0,,,
2020-04-07 00:00:00,4,0,0,,,
2020-04-06 00:00:00,9,1,0.1111111111111111,,,
2020-04-05 00:00:00,1,0,0,,,
2020-04-04 00:00:00,1,0,0,,,
2020-04-03 00:00:00,1,0,0,,,
2020-04-02 00:00:00,2,0,0,,,
2020-04-01 00:00:00,2,0,0,,,
2020-03-31 00:00:00,3,0,0,,,
2020-03-30 00:00:00,4,0,0,,,
2020-03-29 00:00:00,2,0,0,,,
2020-03-28 00:00:00,1,0,0,,,
2020-03-27 00:00:00,3,0,0,,,
2020-03-26 00:00:00,3,0,0,,,
2020-03-25 00:00:00,5,0,0,,,
2020-03-24 00:00:00,5,2,0.4,,,
2020-03-23 00:00:00,3,0,0,,,
2020-03-22 00:00:00,1,0,0,,,
2020-03-21 00:00:00,2,0,0,,,
2020-03-19 00:00:00,2,0,0,,,
2020-03-18 00:00:00,3,0,0,,,
2020-03-15 00:00:00,2,0,0,,,
2020-03-14 00:00:00,1,0,0,,,
