date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-01-01 00:00:00,13.0,6.0,0.4615384615384616,,,
2020-12-31 00:00:00,49.0,16.0,0.326530612244898,1.0,0.0,0
2020-12-30 00:00:00,47.0,15.0,0.3191489361702128,,,
2020-12-29 00:00:00,52.0,23.0,0.4423076923076923,,,
2020-12-28 00:00:00,58.0,25.0,0.4310344827586207,2.0,1.0,0.5
2020-12-27 00:00:00,3.0,1.0,0.3333333333333333,,,
2020-12-26 00:00:00,11.0,4.0,0.3636363636363637,1.0,0.0,0
2020-12-25 00:00:00,2.0,1.0,0.5,,,
2020-12-24 00:00:00,10.0,2.0,0.2,1.0,1.0,1
2020-12-23 00:00:00,32.0,8.0,0.25,1.0,1.0,1
2020-12-22 00:00:00,71.0,21.0,0.295774647887324,4.0,2.0,0.5
2020-12-21 00:00:00,100.0,25.0,0.25,2.0,0.0,0
2020-12-20 00:00:00,6.0,1.0,0.1666666666666667,,,
2020-12-19 00:00:00,5.0,1.0,0.2,,,
2020-12-18 00:00:00,36.0,5.0,0.1388888888888889,2.0,1.0,0.5
2020-12-17 00:00:00,53.0,23.0,0.4339622641509434,2.0,1.0,0.5
2020-12-16 00:00:00,42.0,17.0,0.4047619047619048,2.0,1.0,0.5
2020-12-15 00:00:00,31.0,4.0,0.1290322580645161,1.0,0.0,0
2020-12-14 00:00:00,56.0,12.0,0.2142857142857143,4.0,1.0,0.25
2020-12-13 00:00:00,7.0,1.0,0.1428571428571429,,,
2020-12-12 00:00:00,11.0,4.0,0.3636363636363637,,,
2020-12-11 00:00:00,237.0,50.0,0.2109704641350211,,,
2020-12-10 00:00:00,43.0,13.0,0.3023255813953488,2.0,0.0,0
2020-12-09 00:00:00,70.0,18.0,0.2571428571428571,,,
2020-12-08 00:00:00,57.0,13.0,0.2280701754385965,1.0,0.0,0
2020-12-07 00:00:00,85.0,17.0,0.2,1.0,0.0,0
2020-12-06 00:00:00,9.0,0.0,0,1.0,0.0,0
2020-12-05 00:00:00,10.0,2.0,0.2,,,
2020-12-04 00:00:00,34.0,11.0,0.3235294117647059,9.0,2.0,0.2222222222222222
2020-12-03 00:00:00,64.0,21.0,0.328125,4.0,0.0,0
2020-12-02 00:00:00,47.0,13.0,0.2765957446808511,11.0,2.0,0.1818181818181818
2020-12-01 00:00:00,58.0,18.0,0.3103448275862069,7.0,1.0,0.1428571428571429
2020-11-30 00:00:00,60.0,16.0,0.2666666666666667,8.0,3.0,0.375
2020-11-29 00:00:00,8.0,1.0,0.125,,,
2020-11-28 00:00:00,12.0,5.0,0.4166666666666667,,,
2020-11-27 00:00:00,31.0,8.0,0.2580645161290323,1.0,1.0,1
2020-11-26 00:00:00,5.0,0.0,0,1.0,0.0,0
2020-11-25 00:00:00,23.0,3.0,0.1304347826086957,4.0,0.0,0
2020-11-24 00:00:00,62.0,22.0,0.3548387096774194,4.0,0.0,0
2020-11-23 00:00:00,54.0,18.0,0.3333333333333333,7.0,3.0,0.4285714285714286
2020-11-22 00:00:00,4.0,0.0,0,1.0,0.0,0
2020-11-21 00:00:00,137.0,41.0,0.2992700729927008,,,
2020-11-20 00:00:00,48.0,13.0,0.2708333333333333,3.0,0.0,0
2020-11-19 00:00:00,49.0,16.0,0.326530612244898,2.0,1.0,0.5
2020-11-18 00:00:00,45.0,16.0,0.3555555555555556,2.0,1.0,0.5
2020-11-17 00:00:00,85.0,20.0,0.2352941176470588,,,
