date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
7/11/2021,4842,3812,4366,6534,14055,4529
7/12/2021,4855,3821,4376,6538,14065,4578
7/13/2021,4872,3828,4378,6542,14076,4615
7/14/2021,4889,3840,4380,6546,14084,4679
7/15/2021,4899,3845,4385,6554,14098,4704
7/16/2021,4916,3858,4392,6564,14102,4733
7/17/2021,4921,3859,4399,6574,14104,4738
7/18/2021,4926,3861,4399,6577,14107,4739
7/19/2021,4949,3867,4407,6589,14118,4784
7/2/2021,4788,3774,4332,6504,14014,4412
7/20/2021,4965,3878,4423,6600,14134,4839
7/21/2021,4983,3889,4432,6612,14147,4890
7/22/2021,4995,3901,4439,6630,14158,4942
7/23/2021,5009,3905,4451,6639,14167,4977
7/24/2021,5015,3909,4459,6645,14179,4978
7/25/2021,5017,3911,4461,6646,14181,4985
7/26/2021,5031,3924,4474,6657,14190,5024
7/27/2021,5056,3934,4485,6665,14210,5061
7/28/2021,5073,3946,4500,6681,14220,5103
7/29/2021,5087,3958,4509,6693,14232,5142
7/3/2021,4792,3775,4333,6505,14017,4414
7/30/2021,5092,3962,4512,6703,14244,5170
7/31/2021,5102,3964,4518,6706,14247,5174
7/4/2021,4794,3775,4333,6505,14017,4414
7/5/2021,4798,3777,4339,6507,14018,4421
7/6/2021,4802,3779,4347,6515,14032,4443
7/7/2021,4809,3784,4349,6518,14038,4482
7/8/2021,4822,3801,4357,6522,14043,4503
7/9/2021,4836,3810,4362,6531,14051,4526
8/1/2021,5106,3967,4520,6711,14251,5179
8/10/2021,5259,4061,4599,6815,14343,5539
8/11/2021,5282,4082,4606,6824,14352,5589
8/12/2021,5306,4094,4617,6832,14359,5650
8/13/2021,5333,4114,4630,6848,14380,5728
8/14/2021,5341,4123,4638,6852,14386,5738
8/15/2021,5343,4124,4639,6858,14389,5740
8/16/2021,5370,4160,4656,6875,14416,5768
8/17/2021,5393,4178,4669,6888,14445,5806
8/18/2021,5411,4189,4681,6899,14460,5831
8/19/2021,5434,4202,4691,6920,14471,5858
8/2/2021,5125,3983,4530,6723,14266,5236
8/20/2021,5452,4222,4702,6941,14485,5905
8/21/2021,5455,4222,4705,6945,14486,5909
8/22/2021,5457,4224,4706,6951,14489,5909
8/23/2021,5480,4236,4720,6965,14506,5924
8/24/2021,5497,4251,4736,6973,14532,5939
8/25/2021,5513,4262,4745,6986,14552,5958
8/26/2021,5531,4272,4749,6997,14566,5983
8/27/2021,5550,4289,4769,7009,14586,6013
8/28/2021,5560,4296,4775,7014,14591,6026
8/29/2021,5563,4299,4778,7018,14593,6028
8/3/2021,5133,3989,4539,6734,14279,5309
8/30/2021,5569,4304,4785,7026,14597,6039
8/31/2021,5577,4311,4792,7034,14608,6052
8/4/2021,5154,3999,4550,6748,14293,5346
8/5/2021,5175,4011,4556,6762,14299,5391
8/6/2021,5206,4024,4569,6780,14304,5461
8/7/2021,5217,4028,4575,6783,14307,5470
8/8/2021,5225,4032,4577,6787,14311,5472
8/9/2021,5249,4048,4589,6799,14323,5503
9/1/2021,5584,4321,4798,7045,14613,6070
9/10/2021,5672,4379,4843,7086,14668,6150
9/11/2021,5676,4386,4849,7088,14672,6154
9/12/2021,5678,4389,4850,7089,14672,6154
9/13/2021,5706,4401,4866,7098,14683,6191
9/14/2021,5716,4412,4877,7108,14695,6204
9/15/2021,5724,4413,4879,7111,14698,6210
9/16/2021,5729,4417,4883,7115,14706,6220
9/17/2021,5743,4422,4888,7121,14712,6246
9/18/2021,5746,4426,4889,7126,14715,6247
9/19/2021,5750,4431,4892,7129,14716,6249
9/2/2021,5589,4327,4805,7046,14616,6076
9/20/2021,5763,4438,4895,7136,14719,6261
9/21/2021,5774,4443,4899,7139,14728,6270
9/22/2021,5795,4456,4908,7143,14733,6294
9/23/2021,5815,4461,4913,7147,14739,6306
9/24/2021,5830,4464,4925,7155,14752,6321
9/25/2021,5835,4466,4930,7159,14759,6325
9/26/2021,5839,4467,4931,7162,14762,6326
9/27/2021,5854,4467,4947,7166,14780,6344
9/28/2021,5869,4483,4966,7180,14801,6350
9/29/2021,5881,4487,4969,7191,14816,6359
9/3/2021,5602,4342,4812,7060,14623,6099
9/30/2021,5910,4502,4987,7212,14842,6367
9/4/2021,5605,4347,4816,7061,14627,6101
9/5/2021,5610,4347,4816,7061,14627,6101
9/6/2021,5611,4348,4817,7061,14631,6102
9/7/2021,5629,4356,4824,7068,14639,6111
9/8/2021,5647,4363,4829,7075,14652,6126
9/9/2021,5659,4370,4837,7080,14660,6140
