date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2020-11-15 00:00:00,82,7,0.0853658536585366,7.0,2.0,0.2857142857142857
2020-11-14 00:00:00,118,10,0.0847457627118644,5.0,0.0,0
2020-11-13 00:00:00,241,18,0.0746887966804979,15.0,0.0,0
2020-11-12 00:00:00,354,14,0.0395480225988701,10.0,0.0,0
2020-11-11 00:00:00,142,31,0.2183098591549296,42.0,0.0,0
2020-11-10 00:00:00,191,31,0.162303664921466,53.0,1.0,0.0188679245283019
2020-11-09 00:00:00,535,30,0.0560747663551402,10.0,0.0,0
2020-11-08 00:00:00,129,9,0.0697674418604651,10.0,0.0,0
2020-11-07 00:00:00,99,19,0.1919191919191919,7.0,0.0,0
2020-11-06 00:00:00,165,25,0.1515151515151515,16.0,1.0,0.0625
2020-11-05 00:00:00,571,49,0.0858143607705779,31.0,3.0,0.0967741935483871
2020-11-04 00:00:00,201,20,0.0995024875621891,5.0,1.0,0.2
2020-11-03 00:00:00,239,30,0.1255230125523013,14.0,3.0,0.2142857142857143
2020-11-02 00:00:00,482,41,0.0850622406639004,13.0,1.0,0.0769230769230769
2020-11-01 00:00:00,75,14,0.1866666666666667,2.0,0.0,0
2020-10-31 00:00:00,62,21,0.3387096774193548,3.0,0.0,0
2020-10-30 00:00:00,124,5,0.0403225806451613,17.0,0.0,0
2020-10-29 00:00:00,304,15,0.0493421052631579,16.0,0.0,0
2020-10-28 00:00:00,132,14,0.1060606060606061,10.0,0.0,0
2020-10-27 00:00:00,151,14,0.0927152317880795,13.0,1.0,0.0769230769230769
2020-10-26 00:00:00,428,28,0.0654205607476636,141.0,6.0,0.0425531914893617
2020-10-25 00:00:00,93,11,0.1182795698924731,5.0,0.0,0
2020-10-24 00:00:00,72,12,0.1666666666666667,4.0,1.0,0.25
2020-10-23 00:00:00,161,17,0.1055900621118013,13.0,0.0,0
2020-10-22 00:00:00,273,28,0.1025641025641026,15.0,2.0,0.1333333333333333
2020-10-21 00:00:00,168,24,0.1428571428571429,7.0,1.0,0.1428571428571429
2020-10-20 00:00:00,202,23,0.1138613861386139,16.0,1.0,0.0625
2020-10-19 00:00:00,350,25,0.0714285714285714,28.0,1.0,0.0357142857142857
2020-10-18 00:00:00,138,26,0.1884057971014493,6.0,0.0,0
2020-10-17 00:00:00,90,8,0.0888888888888889,8.0,0.0,0
2020-10-16 00:00:00,209,25,0.1196172248803828,20.0,0.0,0
2020-10-15 00:00:00,251,11,0.0438247011952191,14.0,1.0,0.0714285714285714
2020-10-14 00:00:00,244,40,0.1639344262295082,8.0,0.0,0
2020-10-13 00:00:00,325,48,0.1476923076923077,14.0,2.0,0.1428571428571429
2020-10-12 00:00:00,292,31,0.1061643835616438,24.0,2.0,0.0833333333333333
2020-10-11 00:00:00,68,10,0.1470588235294118,5.0,1.0,0.2
