date,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE
2021-03-30 00:00:00,153,1,0.0065359477124183,,,
2021-03-29 00:00:00,102,2,0.0196078431372549,2.0,1.0,0.5
2021-03-28 00:00:00,25,0,0,,,
2021-03-27 00:00:00,32,1,0.03125,1.0,0.0,0
2021-03-26 00:00:00,66,0,0,2.0,1.0,0.5
2021-03-25 00:00:00,105,1,0.0095238095238095,2.0,1.0,0.5
2021-03-24 00:00:00,66,1,0.0151515151515152,1.0,1.0,1
2021-03-23 00:00:00,148,0,0,2.0,2.0,1
2021-03-22 00:00:00,98,3,0.0306122448979592,2.0,1.0,0.5
2021-03-21 00:00:00,13,1,0.0769230769230769,1.0,1.0,1
2021-03-20 00:00:00,12,0,0,,,
2021-03-19 00:00:00,62,1,0.0161290322580645,,,
2021-03-18 00:00:00,76,0,0,2.0,0.0,0
2021-03-17 00:00:00,76,0,0,4.0,3.0,0.75
2021-03-16 00:00:00,126,1,0.0079365079365079,2.0,1.0,0.5
2021-03-15 00:00:00,85,1,0.0117647058823529,,,
2021-03-14 00:00:00,16,1,0.0625,,,
2021-03-13 00:00:00,21,0,0,,,
2021-03-12 00:00:00,81,5,0.0617283950617284,2.0,1.0,0.5
2021-03-11 00:00:00,101,0,0,4.0,4.0,1
2021-03-10 00:00:00,86,1,0.0116279069767442,1.0,1.0,1
2021-03-09 00:00:00,167,3,0.0179640718562874,,,
2021-03-08 00:00:00,154,3,0.0194805194805195,2.0,1.0,0.5
2021-03-07 00:00:00,27,2,0.0740740740740741,,,
2021-03-06 00:00:00,28,0,0,,,
2021-03-05 00:00:00,110,2,0.0181818181818182,3.0,1.0,0.3333333333333333
2021-03-04 00:00:00,113,2,0.0176991150442478,37.0,29.0,0.7837837837837838
2021-03-03 00:00:00,80,7,0.0875,1.0,0.0,0
2021-03-02 00:00:00,158,2,0.0126582278481013,,,
2021-03-01 00:00:00,114,2,0.0175438596491228,1.0,0.0,0
2021-02-28 00:00:00,30,3,0.1,,,
2021-02-27 00:00:00,27,0,0,1.0,1.0,1
2021-02-26 00:00:00,50,3,0.06,5.0,3.0,0.6
2021-02-25 00:00:00,116,5,0.0431034482758621,4.0,0.0,0
2021-02-24 00:00:00,85,3,0.0352941176470588,30.0,7.0,0.2333333333333334
2021-02-23 00:00:00,205,4,0.0195121951219512,8.0,4.0,0.5
2021-02-22 00:00:00,110,10,0.0909090909090909,2.0,1.0,0.5
2021-02-21 00:00:00,38,1,0.0263157894736842,1.0,0.0,0
2021-02-20 00:00:00,53,2,0.0377358490566038,,,
2021-02-19 00:00:00,117,9,0.0769230769230769,,,
2021-02-18 00:00:00,106,7,0.0660377358490566,,,
2021-02-17 00:00:00,99,13,0.1313131313131313,1.0,1.0,1
2021-02-16 00:00:00,176,8,0.0454545454545455,,,
2021-02-15 00:00:00,120,5,0.0416666666666667,2.0,2.0,1
2021-02-14 00:00:00,20,2,0.1,,,
2021-02-13 00:00:00,37,3,0.0810810810810811,2.0,0.0,0
2021-02-12 00:00:00,113,6,0.0530973451327434,5.0,3.0,0.6
2021-02-11 00:00:00,125,10,0.08,5.0,2.0,0.4
2021-02-10 00:00:00,114,12,0.1052631578947368,1.0,1.0,1
2021-02-09 00:00:00,228,16,0.0701754385964912,,,
2021-02-08 00:00:00,176,16,0.0909090909090909,2.0,1.0,0.5
2021-02-07 00:00:00,44,9,0.2045454545454546,,,
2021-02-06 00:00:00,48,11,0.2291666666666667,3.0,3.0,1
2021-02-05 00:00:00,118,16,0.1355932203389831,2.0,1.0,0.5
2021-02-04 00:00:00,195,7,0.0358974358974359,3.0,2.0,0.6666666666666666
2021-02-03 00:00:00,140,8,0.0571428571428571,1.0,1.0,1
2021-02-02 00:00:00,243,25,0.102880658436214,2.0,0.0,0
2021-02-01 00:00:00,188,22,0.1170212765957447,4.0,2.0,0.5
2021-01-31 00:00:00,44,11,0.25,,,
2021-01-30 00:00:00,36,7,0.1944444444444445,2.0,1.0,0.5
2021-01-29 00:00:00,218,30,0.1376146788990826,,,
2021-01-28 00:00:00,216,24,0.1111111111111111,7.0,4.0,0.5714285714285714
2021-01-27 00:00:00,154,13,0.0844155844155844,3.0,2.0,0.6666666666666666
2021-01-26 00:00:00,200,22,0.11,1.0,0.0,0
2021-01-25 00:00:00,198,27,0.1363636363636364,2.0,0.0,0
2021-01-24 00:00:00,54,10,0.1851851851851852,,,
2021-01-23 00:00:00,54,8,0.1481481481481482,,,
2021-01-22 00:00:00,210,28,0.1333333333333333,3.0,3.0,1
2021-01-21 00:00:00,195,29,0.1487179487179487,2.0,1.0,0.5
2021-01-20 00:00:00,191,17,0.0890052356020942,5.0,3.0,0.6
2021-01-19 00:00:00,364,33,0.0906593406593407,4.0,2.0,0.5
2021-01-18 00:00:00,171,33,0.1929824561403509,3.0,0.0,0
