date,pcr_tests_GILA,pcr_pos_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_pos_tests_GILA,ser_positivity_GILA
2021-02-15 00:00:00,84,19,0.2261904761904762,5,2,0.4
2021-02-14 00:00:00,33,4,0.1212121212121212,,,
2021-02-13 00:00:00,34,4,0.1176470588235294,,,
2021-02-12 00:00:00,80,7,0.0875,7,2,0.2857142857142857
2021-02-11 00:00:00,106,6,0.0566037735849057,5,3,0.6
2021-02-10 00:00:00,72,5,0.0694444444444445,8,2,0.25
2021-02-09 00:00:00,72,11,0.1527777777777778,3,1,0.3333333333333333
2021-02-08 00:00:00,83,16,0.1927710843373494,6,1,0.1666666666666667
2021-02-07 00:00:00,40,5,0.125,,,
2021-02-06 00:00:00,65,6,0.0923076923076923,,,
2021-02-05 00:00:00,79,7,0.0886075949367089,1,1,1
2021-02-04 00:00:00,94,14,0.148936170212766,5,2,0.4
2021-02-03 00:00:00,107,6,0.0560747663551402,7,2,0.2857142857142857
2021-02-02 00:00:00,128,15,0.1171875,5,2,0.4
2021-02-01 00:00:00,110,22,0.2,8,0,0
2021-01-31 00:00:00,34,8,0.2352941176470588,,,
2021-01-30 00:00:00,40,6,0.15,,,
2021-01-29 00:00:00,113,19,0.168141592920354,7,2,0.2857142857142857
2021-01-28 00:00:00,146,34,0.2328767123287671,5,2,0.4
2021-01-27 00:00:00,72,21,0.2916666666666667,5,2,0.4
2021-01-26 00:00:00,46,8,0.1739130434782609,,,
2021-01-25 00:00:00,97,21,0.2164948453608248,2,1,0.5
2021-01-24 00:00:00,62,11,0.1774193548387097,,,
2021-01-23 00:00:00,114,23,0.2017543859649123,,,
2021-01-22 00:00:00,196,27,0.1377551020408163,7,0,0
2021-01-21 00:00:00,156,25,0.1602564102564103,6,3,0.5
2021-01-20 00:00:00,103,29,0.2815533980582524,5,2,0.4
2021-01-19 00:00:00,131,26,0.1984732824427481,4,3,0.75
2021-01-18 00:00:00,120,20,0.1666666666666667,8,4,0.5
2021-01-17 00:00:00,35,8,0.2285714285714286,1,0,0
2021-01-16 00:00:00,184,34,0.1847826086956522,1,0,0
2021-01-15 00:00:00,121,24,0.1983471074380165,5,4,0.8
2021-01-14 00:00:00,207,35,0.1690821256038647,5,4,0.8
2021-01-13 00:00:00,120,29,0.2416666666666667,18,6,0.3333333333333333
2021-01-12 00:00:00,113,25,0.2212389380530974,6,4,0.6666666666666666
2021-01-11 00:00:00,179,41,0.229050279329609,4,3,0.75
2021-01-10 00:00:00,49,8,0.163265306122449,,,
2021-01-09 00:00:00,58,13,0.2241379310344828,2,1,0.5
2021-01-08 00:00:00,214,49,0.2289719626168225,1,1,1
2021-01-07 00:00:00,147,25,0.1700680272108844,12,4,0.3333333333333333
2021-01-06 00:00:00,194,48,0.2474226804123712,4,0,0
2021-01-05 00:00:00,167,35,0.2095808383233533,5,2,0.4
2021-01-04 00:00:00,163,31,0.1901840490797546,7,2,0.2857142857142857
2021-01-03 00:00:00,58,14,0.2413793103448276,1,0,0
2021-01-02 00:00:00,70,20,0.2857142857142857,1,1,1
2021-01-01 00:00:00,118,29,0.2457627118644068,,,
2020-12-31 00:00:00,85,22,0.2588235294117648,3,0,0
2020-12-30 00:00:00,91,30,0.3296703296703297,1,0,0
2020-12-29 00:00:00,87,20,0.2298850574712644,5,0,0
2020-12-28 00:00:00,179,37,0.2067039106145252,3,1,0.3333333333333333
2020-12-27 00:00:00,47,13,0.2765957446808511,3,0,0
2020-12-26 00:00:00,57,6,0.1052631578947368,,,
2020-12-25 00:00:00,15,3,0.2,,,
2020-12-24 00:00:00,50,12,0.24,1,0,0
2020-12-23 00:00:00,122,27,0.2213114754098361,5,2,0.4
2020-12-22 00:00:00,123,32,0.2601626016260163,3,1,0.3333333333333333
2020-12-21 00:00:00,144,33,0.2291666666666667,2,0,0
2020-12-20 00:00:00,45,9,0.2,1,1,1
2020-12-19 00:00:00,58,14,0.2413793103448276,1,0,0
2020-12-18 00:00:00,126,14,0.1111111111111111,3,0,0
2020-12-17 00:00:00,147,24,0.163265306122449,11,1,0.0909090909090909
2020-12-16 00:00:00,125,23,0.184,4,1,0.25
2020-12-15 00:00:00,108,6,0.0555555555555556,3,0,0
2020-12-14 00:00:00,219,28,0.1278538812785388,1,0,0
2020-12-13 00:00:00,50,8,0.16,,,
2020-12-12 00:00:00,39,5,0.1282051282051282,,,
2020-12-11 00:00:00,93,21,0.2258064516129032,3,0,0
2020-12-10 00:00:00,257,29,0.1128404669260701,3,1,0.3333333333333333
2020-12-09 00:00:00,128,13,0.1015625,,,
2020-12-08 00:00:00,151,25,0.1655629139072848,8,1,0.125
2020-12-07 00:00:00,285,31,0.1087719298245614,26,3,0.1153846153846154
2020-12-06 00:00:00,41,8,0.1951219512195122,,,
2020-12-05 00:00:00,36,8,0.2222222222222222,,,
2020-12-04 00:00:00,183,35,0.1912568306010929,4,1,0.25
2020-12-03 00:00:00,130,19,0.1461538461538462,10,0,0
2020-12-02 00:00:00,125,15,0.12,10,0,0
2020-12-01 00:00:00,112,29,0.2589285714285715,15,0,0
2020-11-30 00:00:00,126,17,0.1349206349206349,16,0,0
2020-11-29 00:00:00,53,12,0.2264150943396227,3,0,0
2020-11-28 00:00:00,51,12,0.2352941176470588,6,1,0.1666666666666667
2020-11-27 00:00:00,62,16,0.2580645161290323,8,1,0.125
2020-11-26 00:00:00,14,1,0.0714285714285714,1,0,0
2020-11-25 00:00:00,87,15,0.1724137931034483,13,1,0.0769230769230769
2020-11-24 00:00:00,98,17,0.1734693877551021,13,1,0.0769230769230769
2020-11-23 00:00:00,147,14,0.0952380952380952,9,1,0.1111111111111111
2020-11-22 00:00:00,49,8,0.163265306122449,3,0,0
2020-11-21 00:00:00,45,6,0.1333333333333333,3,0,0
2020-11-20 00:00:00,343,13,0.0379008746355685,8,0,0
2020-11-19 00:00:00,146,8,0.0547945205479452,8,1,0.125
2020-11-18 00:00:00,151,15,0.0993377483443709,13,2,0.1538461538461539
2020-11-17 00:00:00,131,11,0.083969465648855,8,1,0.125
2020-11-16 00:00:00,199,22,0.1105527638190955,5,0,0
2020-11-15 00:00:00,44,4,0.0909090909090909,7,2,0.2857142857142857
2020-11-14 00:00:00,68,6,0.0882352941176471,5,0,0
2020-11-13 00:00:00,121,10,0.0826446280991736,13,0,0
2020-11-12 00:00:00,86,9,0.1046511627906977,10,0,0
2020-11-11 00:00:00,70,20,0.2857142857142857,32,0,0
2020-11-10 00:00:00,87,15,0.1724137931034483,43,1,0.0232558139534884
2020-11-09 00:00:00,128,17,0.1328125,10,0,0
2020-11-08 00:00:00,56,3,0.0535714285714286,7,0,0
2020-11-07 00:00:00,49,12,0.2448979591836735,7,0,0
2020-11-06 00:00:00,67,13,0.1940298507462687,14,1,0.0714285714285714
2020-11-05 00:00:00,178,31,0.1741573033707865,28,2,0.0714285714285714
2020-11-04 00:00:00,96,8,0.0833333333333333,5,1,0.2
2020-11-03 00:00:00,92,11,0.1195652173913044,11,1,0.0909090909090909
2020-11-02 00:00:00,126,22,0.1746031746031746,10,1,0.1
2020-11-01 00:00:00,27,4,0.1481481481481482,2,0,0
2020-10-31 00:00:00,34,11,0.3235294117647059,3,0,0
2020-10-30 00:00:00,55,4,0.0727272727272727,16,0,0
2020-10-29 00:00:00,102,9,0.0882352941176471,14,0,0
2020-10-28 00:00:00,73,9,0.1232876712328767,8,0,0
2020-10-27 00:00:00,62,6,0.0967741935483871,12,1,0.0833333333333333
2020-10-26 00:00:00,125,11,0.088,116,4,0.0344827586206897
2020-10-25 00:00:00,33,6,0.1818181818181818,5,0,0
2020-10-24 00:00:00,36,4,0.1111111111111111,4,1,0.25
2020-10-23 00:00:00,83,4,0.0481927710843374,11,0,0
2020-10-22 00:00:00,99,15,0.1515151515151515,14,2,0.1428571428571429
2020-10-21 00:00:00,69,7,0.1014492753623189,5,0,0
2020-10-20 00:00:00,95,11,0.1157894736842105,11,1,0.0909090909090909
2020-10-19 00:00:00,140,10,0.0714285714285714,26,1,0.0384615384615385
2020-10-18 00:00:00,76,17,0.2236842105263158,5,0,0
2020-10-17 00:00:00,36,2,0.0555555555555556,8,0,0
2020-10-16 00:00:00,113,17,0.1504424778761062,18,0,0
2020-10-15 00:00:00,78,7,0.0897435897435898,13,1,0.0769230769230769
2020-10-14 00:00:00,115,24,0.208695652173913,5,0,0
2020-10-13 00:00:00,144,28,0.1944444444444445,10,1,0.1
2020-10-12 00:00:00,129,16,0.124031007751938,23,2,0.0869565217391304
