date,pcr_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_positivity_GILA
2020-05-01 00:00:00,20,0.05,17.0,0
2020-04-30 00:00:00,16,0,11.0,0
2020-04-29 00:00:00,18,0,16.0,0.0625
2020-04-28 00:00:00,11,0,6.0,0
2020-04-27 00:00:00,15,0.0666666666666667,4.0,0
2020-04-26 00:00:00,5,0,,
2020-04-25 00:00:00,6,0.1666666666666667,,
2020-04-24 00:00:00,14,0,,
2020-04-23 00:00:00,43,0.0232558139534884,,
2020-04-22 00:00:00,8,0,,
2020-04-21 00:00:00,26,0,,
2020-04-20 00:00:00,26,0.0384615384615385,1.0,0
2020-04-19 00:00:00,1,0,,
2020-04-18 00:00:00,10,0,,
2020-04-17 00:00:00,17,0,,
2020-04-16 00:00:00,33,0.0303030303030303,,
2020-04-15 00:00:00,10,0.1,,
2020-04-14 00:00:00,26,0.0769230769230769,,
2020-04-13 00:00:00,12,0,,
2020-04-12 00:00:00,62,0,,
2020-04-11 00:00:00,4,0.25,,
2020-04-10 00:00:00,8,0,,
2020-04-09 00:00:00,15,0,,
2020-04-08 00:00:00,14,0,,
2020-04-07 00:00:00,11,0,,
2020-04-06 00:00:00,19,0,,
2020-04-05 00:00:00,6,0,,
2020-04-04 00:00:00,5,0,,
2020-04-03 00:00:00,15,0,,
2020-04-02 00:00:00,16,0,,
2020-04-01 00:00:00,22,0.0454545454545455,,
2020-03-31 00:00:00,6,0,,
2020-03-30 00:00:00,16,0.0625,,
2020-03-29 00:00:00,4,0,,
2020-03-28 00:00:00,4,0,,
2020-03-27 00:00:00,16,0,,
2020-03-26 00:00:00,13,0,,
2020-03-25 00:00:00,19,0,,
2020-03-24 00:00:00,18,0.0555555555555556,,
2020-03-23 00:00:00,8,0,,
2020-03-22 00:00:00,2,0,,
2020-03-21 00:00:00,4,0,,
2020-03-20 00:00:00,9,0,,
2020-03-19 00:00:00,8,0,,
2020-03-18 00:00:00,5,0,,
2020-03-17 00:00:00,5,0,,
2020-03-16 00:00:00,3,0,,
2020-03-15 00:00:00,5,0,,
2020-03-13 00:00:00,2,0,,
2020-03-12 00:00:00,1,0,,
2020-03-10 00:00:00,1,0,,
2020-03-09 00:00:00,2,0,,
