date,pcr_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_positivity_MOHAVE
2020-03-20 00:00:00,11,0,,
2020-03-19 00:00:00,20,0,,
2020-03-18 00:00:00,23,0,,
2020-03-17 00:00:00,9,0,,
2020-03-16 00:00:00,3,0,,
2020-03-15 00:00:00,3,0,,
2020-03-13 00:00:00,5,0,,
2020-03-12 00:00:00,1,0,,
2020-03-11 00:00:00,1,0,,
2020-03-07 00:00:00,1,0,,
2020-03-06 00:00:00,1,0,,
2020-03-05 00:00:00,2,0,,
2020-03-02 00:00:00,1,0,,
