date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-03-03 00:00:00,71,7,0.0985915492957746,,,
2021-03-02 00:00:00,85,2,0.0235294117647059,1.0,1.0,1
2021-03-01 00:00:00,61,6,0.0983606557377049,,,
2021-02-28 00:00:00,7,0,0,,,
2021-02-27 00:00:00,14,0,0,,,
2021-02-26 00:00:00,46,0,0,1.0,1.0,1
2021-02-25 00:00:00,80,2,0.025,3.0,2.0,0.6666666666666666
2021-02-24 00:00:00,39,0,0,6.0,5.0,0.8333333333333334
2021-02-23 00:00:00,54,2,0.037037037037037,1.0,1.0,1
2021-02-22 00:00:00,57,0,0,,,
2021-02-21 00:00:00,12,0,0,,,
2021-02-20 00:00:00,17,3,0.1764705882352941,,,
2021-02-19 00:00:00,70,6,0.0857142857142857,,,
2021-02-18 00:00:00,76,8,0.1052631578947368,3.0,3.0,1
2021-02-17 00:00:00,52,5,0.0961538461538462,,,
2021-02-16 00:00:00,62,5,0.0806451612903226,4.0,3.0,0.75
2021-02-15 00:00:00,62,4,0.0645161290322581,6.0,3.0,0.5
2021-02-14 00:00:00,10,1,0.1,,,
2021-02-13 00:00:00,14,1,0.0714285714285714,,,
2021-02-12 00:00:00,41,2,0.0487804878048781,1.0,0.0,0
2021-02-11 00:00:00,86,11,0.1279069767441861,3.0,0.0,0
2021-02-10 00:00:00,43,2,0.0465116279069767,,,
2021-02-09 00:00:00,83,6,0.072289156626506,,,
2021-02-08 00:00:00,81,4,0.0493827160493827,8.0,4.0,0.5
2021-02-07 00:00:00,23,2,0.0869565217391304,,,
2021-02-06 00:00:00,8,1,0.125,,,
2021-02-05 00:00:00,74,1,0.0135135135135135,3.0,3.0,1
2021-02-04 00:00:00,110,18,0.1636363636363636,,,
2021-02-03 00:00:00,80,9,0.1125,3.0,1.0,0.3333333333333333
2021-02-02 00:00:00,83,6,0.072289156626506,1.0,0.0,0
2021-02-01 00:00:00,105,9,0.0857142857142857,6.0,2.0,0.3333333333333333
2021-01-31 00:00:00,20,1,0.05,,,
2021-01-30 00:00:00,28,6,0.2142857142857143,,,
2021-01-29 00:00:00,154,15,0.0974025974025974,12.0,3.0,0.25
2021-01-28 00:00:00,93,15,0.1612903225806452,4.0,3.0,0.75
2021-01-27 00:00:00,89,12,0.1348314606741573,6.0,5.0,0.8333333333333334
2021-01-26 00:00:00,148,25,0.1689189189189189,1.0,0.0,0
2021-01-25 00:00:00,117,9,0.0769230769230769,3.0,0.0,0
2021-01-24 00:00:00,9,0,0,,,
2021-01-23 00:00:00,15,0,0,,,
2021-01-22 00:00:00,57,19,0.3333333333333333,3.0,1.0,0.3333333333333333
2021-01-21 00:00:00,117,13,0.1111111111111111,2.0,2.0,1
2021-01-20 00:00:00,59,22,0.3728813559322034,3.0,3.0,1
2021-01-19 00:00:00,116,21,0.1810344827586207,7.0,4.0,0.5714285714285714
2021-01-18 00:00:00,149,18,0.1208053691275168,7.0,0.0,0
2021-01-17 00:00:00,11,5,0.4545454545454546,,,
2021-01-16 00:00:00,17,6,0.3529411764705883,1.0,1.0,1
2021-01-15 00:00:00,83,18,0.2168674698795181,,,
2021-01-14 00:00:00,97,18,0.1855670103092784,2.0,1.0,0.5
2021-01-13 00:00:00,109,21,0.1926605504587156,9.0,5.0,0.5555555555555556
2021-01-12 00:00:00,132,27,0.2045454545454546,,,
2021-01-11 00:00:00,110,26,0.2363636363636364,8.0,2.0,0.25
2021-01-10 00:00:00,13,1,0.0769230769230769,,,
2021-01-09 00:00:00,20,5,0.25,,,
2021-01-08 00:00:00,62,13,0.2096774193548387,15.0,6.0,0.4
2021-01-07 00:00:00,69,15,0.2173913043478261,7.0,3.0,0.4285714285714286
2021-01-06 00:00:00,83,20,0.2409638554216868,6.0,0.0,0
2021-01-05 00:00:00,127,25,0.1968503937007874,,,
2021-01-04 00:00:00,119,34,0.2857142857142857,4.0,0.0,0
2021-01-03 00:00:00,17,1,0.0588235294117647,,,
2021-01-02 00:00:00,32,10,0.3125,,,
2021-01-01 00:00:00,16,7,0.4375,,,
2020-12-31 00:00:00,72,21,0.2916666666666667,3.0,0.0,0
2020-12-30 00:00:00,109,20,0.1834862385321101,,,
2020-12-29 00:00:00,123,38,0.3089430894308943,,,
2020-12-28 00:00:00,121,29,0.2396694214876033,2.0,1.0,0.5
2020-12-27 00:00:00,4,1,0.25,,,
2020-12-26 00:00:00,17,4,0.2352941176470588,1.0,0.0,0
2020-12-25 00:00:00,6,2,0.3333333333333333,,,
2020-12-24 00:00:00,23,2,0.0869565217391304,3.0,3.0,1
2020-12-23 00:00:00,90,11,0.1222222222222222,1.0,1.0,1
2020-12-22 00:00:00,185,52,0.2810810810810811,9.0,2.0,0.2222222222222222
2020-12-21 00:00:00,221,41,0.1855203619909502,2.0,0.0,0
2020-12-20 00:00:00,12,2,0.1666666666666667,,,
2020-12-19 00:00:00,15,2,0.1333333333333333,,,
2020-12-18 00:00:00,112,22,0.1964285714285714,2.0,1.0,0.5
2020-12-17 00:00:00,276,123,0.4456521739130435,5.0,1.0,0.2
2020-12-16 00:00:00,167,69,0.4131736526946108,4.0,1.0,0.25
2020-12-15 00:00:00,77,11,0.1428571428571429,4.0,0.0,0
2020-12-14 00:00:00,123,19,0.1544715447154472,9.0,3.0,0.3333333333333333
2020-12-13 00:00:00,17,2,0.1176470588235294,,,
2020-12-12 00:00:00,16,5,0.3125,,,
2020-12-11 00:00:00,367,67,0.1825613079019074,,,
2020-12-10 00:00:00,93,18,0.1935483870967742,3.0,1.0,0.3333333333333333
2020-12-09 00:00:00,104,22,0.2115384615384615,3.0,0.0,0
2020-12-08 00:00:00,109,21,0.1926605504587156,1.0,0.0,0
2020-12-07 00:00:00,123,20,0.1626016260162602,2.0,0.0,0
2020-12-06 00:00:00,23,2,0.0869565217391304,1.0,0.0,0
2020-12-05 00:00:00,14,3,0.2142857142857143,,,
2020-12-04 00:00:00,70,15,0.2142857142857143,22.0,4.0,0.1818181818181818
2020-12-03 00:00:00,121,29,0.2396694214876033,8.0,0.0,0
2020-12-02 00:00:00,112,20,0.1785714285714286,14.0,2.0,0.1428571428571429
2020-12-01 00:00:00,192,28,0.1458333333333334,12.0,3.0,0.25
2020-11-30 00:00:00,129,26,0.2015503875968992,17.0,5.0,0.2941176470588236
2020-11-29 00:00:00,28,5,0.1785714285714286,,,
2020-11-28 00:00:00,33,9,0.2727272727272727,,,
2020-11-27 00:00:00,58,16,0.2758620689655173,2.0,1.0,0.5
2020-11-26 00:00:00,9,0,0,2.0,0.0,0
2020-11-25 00:00:00,65,6,0.0923076923076923,8.0,0.0,0
2020-11-24 00:00:00,156,29,0.1858974358974359,9.0,0.0,0
2020-11-23 00:00:00,107,24,0.2242990654205608,13.0,3.0,0.2307692307692308
2020-11-22 00:00:00,15,1,0.0666666666666667,2.0,1.0,0.5
2020-11-21 00:00:00,208,52,0.25,,,
2020-11-20 00:00:00,108,18,0.1666666666666667,10.0,0.0,0
2020-11-19 00:00:00,97,23,0.2371134020618557,4.0,2.0,0.5
2020-11-18 00:00:00,92,25,0.2717391304347826,5.0,2.0,0.4
2020-11-17 00:00:00,195,31,0.158974358974359,,,
2020-11-16 00:00:00,145,33,0.2275862068965518,4.0,2.0,0.5
2020-11-15 00:00:00,23,2,0.0869565217391304,,,
2020-11-14 00:00:00,26,6,0.2307692307692308,1.0,0.0,0
2020-11-13 00:00:00,108,17,0.1574074074074074,1.0,0.0,0
2020-11-12 00:00:00,114,23,0.2017543859649123,,,
2020-11-11 00:00:00,72,24,0.3333333333333333,,,
2020-11-10 00:00:00,132,36,0.2727272727272727,2.0,0.0,0
2020-11-09 00:00:00,127,30,0.2362204724409449,1.0,0.0,0
2020-11-08 00:00:00,30,13,0.4333333333333334,,,
2020-11-07 00:00:00,40,9,0.225,,,
2020-11-06 00:00:00,104,17,0.1634615384615385,3.0,0.0,0
2020-11-05 00:00:00,135,34,0.2518518518518519,4.0,2.0,0.5
2020-11-04 00:00:00,96,26,0.2708333333333333,1.0,0.0,0
2020-11-03 00:00:00,112,12,0.1071428571428571,9.0,4.0,0.4444444444444444
2020-11-02 00:00:00,133,22,0.1654135338345865,,,
2020-11-01 00:00:00,52,8,0.1538461538461539,,,
2020-10-31 00:00:00,54,7,0.1296296296296296,1.0,0.0,0
2020-10-30 00:00:00,54,6,0.1111111111111111,,,
2020-10-29 00:00:00,103,20,0.1941747572815534,2.0,0.0,0
2020-10-28 00:00:00,131,22,0.1679389312977099,7.0,1.0,0.1428571428571429
2020-10-27 00:00:00,102,16,0.1568627450980392,1.0,0.0,0
2020-10-26 00:00:00,136,15,0.1102941176470588,5.0,0.0,0
2020-10-25 00:00:00,17,3,0.1764705882352941,,,
2020-10-24 00:00:00,22,5,0.2272727272727273,,,
2020-10-23 00:00:00,343,34,0.0991253644314869,,,
2020-10-22 00:00:00,87,4,0.0459770114942529,,,
