date,pcr_tests,pcr_pos_test,pcr_positivity,pcr_tests_APACHE,pcr_pos_test_APACHE,pcr_positivity_APACHE,pcr_tests_YUMA,pcr_pos_test_YUMA,pcr_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_test_YAVAPAI,pcr_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_test_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_test_PINAL,pcr_positivity_PINAL,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_test_MOHAVE,pcr_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_test_GREENLEE,pcr_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA,pcr_tests_COCONINO,pcr_pos_test_COCONINO,pcr_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2021-12-24 00:00:00,21514,3411,0.1585479222831645,106.0,17.0,0.160377358490566,282.0,40.0,0.1418439716312057,345.0,58.0,0.1681159420289855,86.0,15.0,0.1744186046511628,1496.0,313.0,0.2092245989304813,2750.0,318.0,0.1156363636363636,241.0,37.0,0.1535269709543569,349.0,72.0,0.2063037249283668,14203.0,2261.0,0.1591917200591424,21.0,4.0,0.1904761904761905,4.0,1.0,0.25,28.0,1.0,0.0357142857142857,112.0,12.0,0.1071428571428571,337.0,65.0,0.1928783382789318,241.0,36.0,0.1493775933609959
2021-12-23 00:00:00,40772,5419,0.1329098400863338,261.0,32.0,0.1226053639846743,823.0,89.0,0.1081409477521264,957.0,99.0,0.103448275862069,154.0,16.0,0.1038961038961039,2586.0,346.0,0.1337973704563032,5786.0,573.0,0.0990321465606637,458.0,53.0,0.1157205240174673,778.0,96.0,0.1233933161953728,25338.0,3624.0,0.1430262846317784,39.0,4.0,0.1025641025641026,5.0,1.0,0.2,40.0,7.0,0.175,363.0,36.0,0.0991735537190083,1264.0,180.0,0.1424050632911393,595.0,81.0,0.1361344537815126
2021-12-22 00:00:00,41564,5394,0.1297757674910981,182.0,21.0,0.1153846153846154,651.0,77.0,0.1182795698924731,843.0,99.0,0.1174377224199288,205.0,16.0,0.0780487804878049,2550.0,373.0,0.1462745098039216,6201.0,569.0,0.0917593936461861,463.0,72.0,0.1555075593952484,724.0,114.0,0.1574585635359116,26086.0,3576.0,0.1370850264509699,70.0,6.0,0.0857142857142857,4.0,0.0,0.0,44.0,3.0,0.0681818181818182,252.0,27.0,0.1071428571428571,1450.0,222.0,0.1531034482758621,677.0,62.0,0.0915805022156573
2021-12-21 00:00:00,41909,4742,0.1131499200649025,251.0,34.0,0.1354581673306773,823.0,91.0,0.1105710814094775,1011.0,105.0,0.1038575667655786,184.0,10.0,0.0543478260869565,2633.0,349.0,0.1325484238511204,6513.0,547.0,0.0839858744050361,498.0,74.0,0.1485943775100402,1241.0,116.0,0.0934730056406124,25455.0,3058.0,0.12013356904341,324.0,6.0,0.0185185185185185,8.0,0.0,0.0,44.0,1.0,0.0227272727272727,175.0,32.0,0.1828571428571429,1144.0,150.0,0.1311188811188811,481.0,43.0,0.0893970893970894
2021-12-20 00:00:00,42022,4653,0.1107277140545429,238.0,33.0,0.138655462184874,858.0,85.0,0.0990675990675991,1019.0,107.0,0.1050049067713445,177.0,7.0,0.0395480225988701,2972.0,363.0,0.1221399730820996,6217.0,499.0,0.0802637928261219,576.0,72.0,0.125,955.0,129.0,0.1350785340314136,25129.0,2970.0,0.1181901388833619,52.0,11.0,0.2115384615384615,6.0,1.0,0.1666666666666667,46.0,2.0,0.0434782608695652,350.0,26.0,0.0742857142857143,1510.0,172.0,0.1139072847682119,676.0,79.0,0.1168639053254438
2021-12-19 00:00:00,18898,2252,0.1191660493173881,93.0,9.0,0.0967741935483871,359.0,37.0,0.1030640668523677,367.0,67.0,0.1825613079019074,64.0,2.0,0.03125,1216.0,171.0,0.140625,2438.0,245.0,0.1004922067268253,175.0,31.0,0.1771428571428571,299.0,50.0,0.1672240802675585,12856.0,1508.0,0.1172993154947106,19.0,2.0,0.1052631578947368,1.0,0.0,0.0,14.0,1.0,0.0714285714285714,50.0,13.0,0.26,228.0,39.0,0.1710526315789474,172.0,18.0,0.1046511627906977
2021-12-18 00:00:00,20068,2463,0.1227327087901136,98.0,5.0,0.0510204081632653,448.0,29.0,0.0647321428571429,390.0,69.0,0.1769230769230769,69.0,4.0,0.0579710144927536,1478.0,255.0,0.1725304465493911,2640.0,322.0,0.121969696969697,187.0,23.0,0.1229946524064171,401.0,88.0,0.2194513715710723,13085.0,1528.0,0.1167749331295377,22.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.3333333333333333,58.0,8.0,0.1379310344827586,456.0,57.0,0.125,212.0,28.0,0.1320754716981132
2021-12-17 00:00:00,31936,3408,0.1067134268537074,163.0,19.0,0.1165644171779141,958.0,69.0,0.0720250521920668,770.0,92.0,0.1194805194805195,170.0,14.0,0.0823529411764706,2312.0,299.0,0.129325259515571,4120.0,352.0,0.0854368932038835,399.0,53.0,0.1328320802005013,632.0,119.0,0.1882911392405063,20220.0,2137.0,0.1056874381800198,42.0,4.0,0.0952380952380952,1.0,0.0,0.0,12.0,1.0,0.0833333333333333,132.0,22.0,0.1666666666666667,715.0,96.0,0.1342657342657343,503.0,77.0,0.1530815109343937
2021-12-16 00:00:00,35997,3544,0.0984526488318471,247.0,18.0,0.0728744939271255,633.0,55.0,0.0868878357030016,971.0,118.0,0.121524201853759,192.0,11.0,0.0572916666666667,2161.0,254.0,0.1175381767700139,5168.0,397.0,0.0768188854489164,547.0,71.0,0.1297989031078611,811.0,107.0,0.1319358816276202,22395.0,2291.0,0.1022996204509935,45.0,5.0,0.1111111111111111,3.0,0.0,0.0,30.0,2.0,0.0666666666666667,438.0,23.0,0.0525114155251142,750.0,84.0,0.112,401.0,44.0,0.1097256857855362
2021-12-15 00:00:00,34514,3759,0.1089123254331576,349.0,34.0,0.0974212034383954,786.0,76.0,0.0966921119592875,768.0,112.0,0.1458333333333334,216.0,14.0,0.0648148148148148,2411.0,312.0,0.1294068851099129,5491.0,474.0,0.0863230741212894,503.0,79.0,0.1570576540755467,655.0,83.0,0.1267175572519084,20293.0,2346.0,0.115606366727443,241.0,4.0,0.016597510373444,12.0,2.0,0.1666666666666667,45.0,3.0,0.0666666666666667,157.0,16.0,0.1019108280254777,726.0,73.0,0.1005509641873278,562.0,64.0,0.1138790035587189
2021-12-14 00:00:00,38882,3813,0.0980659431099223,299.0,28.0,0.0936454849498328,805.0,83.0,0.1031055900621118,1088.0,125.0,0.1148897058823529,254.0,33.0,0.1299212598425197,2465.0,298.0,0.1208924949290061,5575.0,449.0,0.0805381165919283,562.0,75.0,0.1334519572953737,1255.0,90.0,0.0717131474103586,23140.0,2408.0,0.1040622299049265,48.0,4.0,0.0833333333333333,6.0,1.0,0.1666666666666667,39.0,2.0,0.0512820512820513,348.0,42.0,0.1206896551724138,679.0,70.0,0.1030927835051546,575.0,65.0,0.1130434782608696
