date,pcr_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_positivity_PIMA
2020-06-07 00:00:00,509,0.1296660117878193,79.0,0.0126582278481013
2020-06-06 00:00:00,648,0.125,267.0,0.0262172284644195
2020-06-05 00:00:00,1505,0.0724252491694352,312.0,0.016025641025641
2020-06-04 00:00:00,1342,0.0849478390461997,421.0,0.0997624703087886
2020-06-03 00:00:00,1168,0.0873287671232877,454.0,0.0286343612334802
2020-06-02 00:00:00,1051,0.0827783063748811,330.0,0.0181818181818182
2020-06-01 00:00:00,1284,0.0615264797507788,463.0,0.019438444924406
2020-05-31 00:00:00,417,0.0839328537170264,80.0,0.0125
2020-05-30 00:00:00,1527,0.0798952193844139,118.0,0.0169491525423729
2020-05-29 00:00:00,1112,0.0584532374100719,433.0,0.0415704387990762
2020-05-28 00:00:00,1049,0.0524308865586273,355.0,0.0422535211267606
2020-05-27 00:00:00,889,0.0742407199100112,500.0,0.058
2020-05-26 00:00:00,936,0.0576923076923077,411.0,0.0316301703163017
2020-05-25 00:00:00,370,0.0972972972972973,70.0,0.0142857142857143
2020-05-24 00:00:00,451,0.0643015521064302,78.0,0.0128205128205128
2020-05-23 00:00:00,539,0.0649350649350649,111.0,0.009009009009009
2020-05-22 00:00:00,839,0.0441001191895113,350.0,0.02
2020-05-21 00:00:00,700,0.0328571428571429,340.0,0.0117647058823529
2020-05-20 00:00:00,696,0.0517241379310345,374.0,0.0240641711229947
2020-05-19 00:00:00,806,0.0421836228287841,412.0,0.0315533980582524
2020-05-18 00:00:00,873,0.0435280641466208,456.0,0.0197368421052632
2020-05-17 00:00:00,323,0.0464396284829721,70.0,0
2020-05-16 00:00:00,1293,0.0270688321732405,97.0,0.0309278350515464
2020-05-15 00:00:00,839,0.0429082240762813,421.0,0.0380047505938242
2020-05-14 00:00:00,839,0.0500595947556615,355.0,0.047887323943662
2020-05-13 00:00:00,639,0.0312989045383412,387.0,0.0361757105943152
2020-05-12 00:00:00,763,0.0393184796854522,438.0,0.0410958904109589
2020-05-11 00:00:00,961,0.032258064516129,516.0,0.0290697674418605
2020-05-10 00:00:00,212,0.0660377358490566,59.0,0.0169491525423729
2020-05-09 00:00:00,780,0.0423076923076923,87.0,0.0114942528735632
2020-05-08 00:00:00,694,0.0345821325648415,577.0,0.0329289428076257
2020-05-07 00:00:00,1017,0.0255653883972468,481.0,0.0353430353430353
2020-05-06 00:00:00,645,0.0418604651162791,356.0,0.0393258426966292
2020-05-05 00:00:00,796,0.0452261306532663,422.0,0.0402843601895735
2020-05-04 00:00:00,758,0.0474934036939314,419.0,0.0167064439140811
2020-05-03 00:00:00,194,0.0567010309278351,35.0,0
2020-05-02 00:00:00,668,0.0389221556886228,54.0,0
2020-05-01 00:00:00,513,0.0331384015594542,485.0,0.0577319587628866
2020-04-30 00:00:00,474,0.0421940928270042,480.0,0.0354166666666667
2020-04-29 00:00:00,362,0.0441988950276243,477.0,0.0524109014675052
