date,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2020-11-19 00:00:00,395,75,0.189873417721519,9.0,0.0,0
2020-11-18 00:00:00,469,68,0.1449893390191898,11.0,1.0,0.0909090909090909
2020-11-17 00:00:00,595,80,0.134453781512605,8.0,0.0,0
2020-11-16 00:00:00,475,61,0.1284210526315789,14.0,1.0,0.0714285714285714
2020-11-15 00:00:00,167,15,0.0898203592814371,1.0,0.0,0
2020-11-14 00:00:00,326,25,0.0766871165644172,3.0,0.0,0
2020-11-13 00:00:00,336,40,0.1190476190476191,21.0,2.0,0.0952380952380952
2020-11-12 00:00:00,466,50,0.1072961373390558,17.0,1.0,0.0588235294117647
2020-11-11 00:00:00,307,38,0.1237785016286645,9.0,1.0,0.1111111111111111
2020-11-10 00:00:00,384,46,0.1197916666666667,12.0,0.0,0
2020-11-09 00:00:00,398,58,0.1457286432160804,17.0,0.0,0
2020-11-08 00:00:00,162,25,0.154320987654321,1.0,0.0,0
2020-11-07 00:00:00,240,36,0.15,8.0,2.0,0.25
2020-11-06 00:00:00,376,52,0.1382978723404255,19.0,2.0,0.1052631578947368
2020-11-05 00:00:00,355,47,0.1323943661971831,11.0,0.0,0
2020-11-04 00:00:00,322,37,0.1149068322981367,7.0,0.0,0
2020-11-03 00:00:00,345,41,0.1188405797101449,12.0,1.0,0.0833333333333333
2020-11-02 00:00:00,331,43,0.1299093655589124,18.0,1.0,0.0555555555555556
2020-11-01 00:00:00,95,8,0.0842105263157895,2.0,1.0,0.5
2020-10-31 00:00:00,167,12,0.0718562874251497,5.0,0.0,0
2020-10-30 00:00:00,199,20,0.1005025125628141,27.0,3.0,0.1111111111111111
2020-10-29 00:00:00,386,31,0.0803108808290155,9.0,1.0,0.1111111111111111
2020-10-28 00:00:00,324,19,0.058641975308642,14.0,1.0,0.0714285714285714
2020-10-27 00:00:00,256,9,0.03515625,14.0,0.0,0
2020-10-26 00:00:00,267,27,0.101123595505618,11.0,1.0,0.0909090909090909
2020-10-25 00:00:00,53,4,0.0754716981132076,4.0,0.0,0
2020-10-24 00:00:00,117,9,0.0769230769230769,2.0,0.0,0
2020-10-23 00:00:00,229,21,0.091703056768559,25.0,0.0,0
2020-10-22 00:00:00,206,5,0.0242718446601942,7.0,0.0,0
2020-10-21 00:00:00,255,12,0.0470588235294118,8.0,0.0,0
2020-10-20 00:00:00,202,16,0.0792079207920792,14.0,0.0,0
2020-10-19 00:00:00,193,11,0.0569948186528497,17.0,3.0,0.1764705882352941
2020-10-18 00:00:00,79,2,0.0253164556962025,4.0,0.0,0
2020-10-17 00:00:00,199,17,0.085427135678392,5.0,1.0,0.2
2020-10-16 00:00:00,171,10,0.0584795321637427,24.0,0.0,0
2020-10-15 00:00:00,186,7,0.0376344086021505,10.0,1.0,0.1
2020-10-14 00:00:00,194,8,0.0412371134020619,8.0,0.0,0
2020-10-13 00:00:00,242,10,0.0413223140495868,30.0,3.0,0.1
2020-10-12 00:00:00,243,22,0.0905349794238683,22.0,2.0,0.0909090909090909
2020-10-11 00:00:00,45,6,0.1333333333333333,5.0,0.0,0
2020-10-10 00:00:00,52,3,0.0576923076923077,4.0,0.0,0
2020-10-09 00:00:00,264,9,0.0340909090909091,15.0,1.0,0.0666666666666667
2020-10-08 00:00:00,197,10,0.050761421319797,6.0,0.0,0
2020-10-07 00:00:00,184,5,0.0271739130434783,10.0,1.0,0.1
2020-10-06 00:00:00,242,14,0.0578512396694215,8.0,2.0,0.25
2020-10-05 00:00:00,179,9,0.0502793296089386,15.0,2.0,0.1333333333333333
2020-10-04 00:00:00,36,2,0.0555555555555556,2.0,0.0,0
2020-10-03 00:00:00,64,2,0.03125,7.0,0.0,0
2020-10-02 00:00:00,143,1,0.006993006993007,17.0,2.0,0.1176470588235294
2020-10-01 00:00:00,165,3,0.0181818181818182,15.0,2.0,0.1333333333333333
2020-09-30 00:00:00,262,2,0.0076335877862595,6.0,0.0,0
2020-09-29 00:00:00,210,4,0.0190476190476191,14.0,1.0,0.0714285714285714
2020-09-28 00:00:00,162,2,0.0123456790123457,23.0,1.0,0.0434782608695652
2020-09-27 00:00:00,61,1,0.0163934426229508,3.0,0.0,0
2020-09-26 00:00:00,80,2,0.025,6.0,0.0,0
2020-09-25 00:00:00,195,2,0.0102564102564103,16.0,2.0,0.125
2020-09-24 00:00:00,149,1,0.0067114093959732,12.0,0.0,0
2020-09-23 00:00:00,161,3,0.0186335403726708,9.0,2.0,0.2222222222222222
2020-09-22 00:00:00,117,6,0.0512820512820513,25.0,2.0,0.08
2020-09-21 00:00:00,134,5,0.0373134328358209,8.0,0.0,0
2020-09-20 00:00:00,73,0,0,5.0,0.0,0
2020-09-19 00:00:00,49,2,0.0408163265306122,7.0,0.0,0
2020-09-18 00:00:00,157,2,0.0127388535031847,17.0,1.0,0.0588235294117647
2020-09-17 00:00:00,169,1,0.0059171597633136,4.0,0.0,0
2020-09-16 00:00:00,192,2,0.0104166666666667,5.0,0.0,0
2020-09-15 00:00:00,199,2,0.0100502512562814,18.0,0.0,0
2020-09-14 00:00:00,98,2,0.0204081632653061,18.0,2.0,0.1111111111111111
2020-09-13 00:00:00,102,0,0,2.0,0.0,0
2020-09-12 00:00:00,42,0,0,10.0,0.0,0
2020-09-11 00:00:00,224,3,0.0133928571428571,23.0,2.0,0.0869565217391304
2020-09-10 00:00:00,284,0,0,15.0,0.0,0
2020-09-09 00:00:00,143,3,0.020979020979021,16.0,2.0,0.125
2020-09-08 00:00:00,132,0,0,19.0,0.0,0
2020-09-07 00:00:00,38,5,0.1315789473684211,3.0,0.0,0
2020-09-06 00:00:00,26,0,0,2.0,0.0,0
2020-09-05 00:00:00,65,2,0.0307692307692308,6.0,0.0,0
2020-09-04 00:00:00,140,4,0.0285714285714286,35.0,7.0,0.2
2020-09-03 00:00:00,164,1,0.0060975609756098,13.0,4.0,0.3076923076923077
2020-09-02 00:00:00,274,2,0.0072992700729927,16.0,0.0,0
2020-09-01 00:00:00,141,4,0.0283687943262411,8.0,1.0,0.125
2020-08-31 00:00:00,97,8,0.0824742268041237,25.0,0.0,0
2020-08-30 00:00:00,25,1,0.04,6.0,0.0,0
2020-08-29 00:00:00,50,1,0.02,3.0,0.0,0
2020-08-28 00:00:00,218,3,0.0137614678899083,24.0,0.0,0
2020-08-27 00:00:00,166,5,0.0301204819277108,16.0,1.0,0.0625
2020-08-26 00:00:00,164,5,0.0304878048780488,16.0,2.0,0.125
2020-08-25 00:00:00,135,6,0.0444444444444444,20.0,1.0,0.05
2020-08-24 00:00:00,113,4,0.0353982300884956,16.0,1.0,0.0625
2020-08-23 00:00:00,29,1,0.0344827586206897,4.0,1.0,0.25
2020-08-22 00:00:00,60,4,0.0666666666666667,15.0,0.0,0
2020-08-21 00:00:00,150,5,0.0333333333333333,20.0,1.0,0.05
2020-08-20 00:00:00,127,5,0.0393700787401575,132.0,15.0,0.1136363636363636
2020-08-19 00:00:00,203,10,0.0492610837438424,24.0,0.0,0
2020-08-18 00:00:00,103,8,0.0776699029126214,334.0,31.0,0.092814371257485
2020-08-17 00:00:00,133,9,0.0676691729323308,30.0,3.0,0.1
2020-08-16 00:00:00,26,0,0,2.0,0.0,0
2020-08-15 00:00:00,106,1,0.0094339622641509,9.0,2.0,0.2222222222222222
2020-08-14 00:00:00,258,3,0.0116279069767442,19.0,1.0,0.0526315789473684
2020-08-13 00:00:00,154,4,0.025974025974026,14.0,2.0,0.1428571428571429
