date,pcr_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_positivity_MARICOPA
2020-07-01 00:00:00,12581,0.2297114696764963,2091.0,0.0774748923959828
2020-06-30 00:00:00,12913,0.2303879811043135,1958.0,0.0612870275791624
2020-06-29 00:00:00,12933,0.2355988556406093,2576.0,0.0854037267080745
2020-06-28 00:00:00,5454,0.2610927759442611,345.0,0.0463768115942029
2020-06-27 00:00:00,8301,0.2433441754005542,602.0,0.0348837209302326
2020-06-26 00:00:00,12764,0.2141178314008148,2668.0,0.0670914542728636
2020-06-25 00:00:00,11763,0.2218821729150727,2613.0,0.0593187906620743
2020-06-24 00:00:00,11525,0.2211713665943601,2615.0,0.0565965583173996
2020-06-23 00:00:00,11207,0.2023735165521549,2470.0,0.0404858299595142
2020-06-22 00:00:00,10285,0.2170150704910063,1941.0,0.0427614631633179
2020-06-21 00:00:00,4118,0.2605633802816902,457.0,0.0568927789934355
2020-06-20 00:00:00,6679,0.224135349603234,602.0,0.0282392026578073
2020-06-19 00:00:00,10656,0.1905968468468469,2337.0,0.0367993153615747
2020-06-18 00:00:00,9509,0.1921337680092544,2137.0,0.0360318203088442
2020-06-17 00:00:00,8413,0.2033757280399382,1804.0,0.0465631929046563
2020-06-16 00:00:00,8617,0.1913659046071719,2510.0,0.0370517928286853
2020-06-15 00:00:00,7878,0.177963950241178,1784.0,0.0375560538116592
2020-06-14 00:00:00,3118,0.1949967928159076,432.0,0.025462962962963
2020-06-13 00:00:00,4067,0.1851487582985001,571.0,0.0262697022767075
2020-06-12 00:00:00,7803,0.1443034730231962,1987.0,0.0327126321087066
2020-06-11 00:00:00,6961,0.155581094670306,2004.0,0.0374251497005988
2020-06-10 00:00:00,6571,0.146705219905646,1746.0,0.0263459335624284
2020-06-09 00:00:00,6338,0.1356894919532976,2047.0,0.04152418172936
2020-06-08 00:00:00,6333,0.1384809726827728,1989.0,0.0306686777275013
2020-06-07 00:00:00,2501,0.1611355457816873,378.0,0.0291005291005291
2020-06-06 00:00:00,3148,0.1397712833545108,570.0,0.0543859649122807
2020-06-05 00:00:00,5752,0.1072670375521558,2172.0,0.0349907918968692
2020-06-04 00:00:00,4720,0.1201271186440678,2167.0,0.0595293031841255
2020-06-03 00:00:00,4537,0.1373154066563809,1897.0,0.0342646283605693
2020-06-02 00:00:00,4696,0.1115843270868825,2477.0,0.0302785627775535
2020-06-01 00:00:00,4517,0.1069293779056896,2744.0,0.0309766763848397
2020-05-31 00:00:00,1611,0.1210428305400373,532.0,0.0093984962406015
2020-05-30 00:00:00,3593,0.0846089618703034,1242.0,0.0265700483091787
2020-05-29 00:00:00,4272,0.085440074906367,2399.0,0.0333472280116715
2020-05-28 00:00:00,3629,0.0895563516120143,2112.0,0.0303030303030303
2020-05-27 00:00:00,2902,0.0844245348035837,2349.0,0.0319284802043423
2020-05-26 00:00:00,3283,0.0804142552543405,2473.0,0.0222401940962394
2020-05-25 00:00:00,1267,0.0686661404893449,352.0,0.0170454545454545
2020-05-24 00:00:00,1381,0.0774800868935554,453.0,0.0154525386313466
2020-05-23 00:00:00,2786,0.0480976310122039,1717.0,0.0227140361094933
2020-05-22 00:00:00,3058,0.0474166121648136,2848.0,0.0242275280898876
2020-05-21 00:00:00,2903,0.0540819841543231,2685.0,0.0230912476722533
