date,pcr_tests,pcr_positivity,ser_tests,ser_positivity
2020-06-13 00:00:00,7488,0.171340811965812,826,0.0242130750605327
2020-06-12 00:00:00,12983,0.1369483170299623,2947,0.0329148286392942
2020-06-11 00:00:00,11634,0.1370122056042634,3347,0.0331640274873021
2020-06-10 00:00:00,11628,0.1342449260405917,3238,0.0302655960469426
2020-06-09 00:00:00,11947,0.1301581987109735,3225,0.0368992248062016
2020-06-08 00:00:00,11041,0.1295172538719319,3194,0.039448966812774
2020-06-07 00:00:00,3586,0.1561628555493586,605,0.0247933884297521
2020-06-06 00:00:00,4658,0.139330184628596,1001,0.0559440559440559
2020-06-05 00:00:00,10513,0.1032055550271093,3253,0.033507531509376
2020-06-04 00:00:00,8692,0.1167740450989416,3179,0.0578798364265492
2020-06-03 00:00:00,8337,0.1251049538203191,3127,0.0319795330988168
2020-06-02 00:00:00,8592,0.1152234636871508,3666,0.027823240589198
2020-06-01 00:00:00,8515,0.1058132706987669,3951,0.0275879524171096
2020-05-31 00:00:00,2539,0.1150059078377314,716,0.0139664804469274
2020-05-30 00:00:00,7519,0.0795318526399787,1828,0.0224288840262582
2020-05-29 00:00:00,8631,0.0816823079596802,3624,0.0366997792494481
2020-05-28 00:00:00,7298,0.0833104960263086,3607,0.0316052120876074
2020-05-27 00:00:00,6044,0.1009265387160821,3691,0.0346789487943647
2020-05-26 00:00:00,6587,0.0845604979505086,3871,0.0216998191681736
2020-05-25 00:00:00,2139,0.0930341280972417,517,0.0174081237911025
2020-05-24 00:00:00,2475,0.0852525252525253,644,0.0186335403726708
2020-05-23 00:00:00,4589,0.0555676617999564,2119,0.022180273714016
2020-05-22 00:00:00,5908,0.0619498984427894,3960,0.023989898989899
2020-05-21 00:00:00,5664,0.0635593220338983,4099,0.0207367650646499
2020-05-20 00:00:00,4849,0.073623427510827,4382,0.0244180739388407
2020-05-19 00:00:00,5765,0.0501300954032958,4455,0.0271604938271605
2020-05-18 00:00:00,6250,0.06208,4613,0.0268805549533926
2020-05-17 00:00:00,2588,0.0370942812982998,1198,0.0091819699499165
2020-05-16 00:00:00,10066,0.0368567454798331,1694,0.0212514757969303
2020-05-15 00:00:00,7235,0.0557014512785073,4504,0.0299733570159858
2020-05-14 00:00:00,5720,0.059965034965035,3788,0.0340549102428722
2020-05-13 00:00:00,5866,0.0465393794749403,3838,0.0338718082334549
2020-05-12 00:00:00,6416,0.0498753117206983,3870,0.0281653746770026
2020-05-11 00:00:00,6119,0.0555646347442393,4176,0.0301724137931035
2020-05-10 00:00:00,1662,0.0601684717208183,443,0.0203160270880361
2020-05-09 00:00:00,8929,0.0334863926531526,959,0.0218978102189781
2020-05-08 00:00:00,5691,0.0423475663328062,4995,0.025025025025025
2020-05-07 00:00:00,5699,0.0500087734690297,4301,0.0299930248779354
2020-05-06 00:00:00,4365,0.0652920962199313,4261,0.0283970898850035
2020-05-05 00:00:00,4426,0.0621328513330321,4199,0.0311979042629197
2020-05-04 00:00:00,4422,0.0707824513794663,4171,0.028290577799089
2020-05-03 00:00:00,1156,0.0674740484429066,384,0.0520833333333333
2020-05-02 00:00:00,5084,0.0403225806451613,478,0.0230125523012552
2020-05-01 00:00:00,3947,0.0635926019761844,3675,0.0443537414965986
2020-04-30 00:00:00,3301,0.076037564374432,3009,0.0305749418411432
2020-04-29 00:00:00,3002,0.0772818121252498,2714,0.0346352247605011
2020-04-28 00:00:00,3127,0.0764310841061721,1820,0.032967032967033
2020-04-27 00:00:00,2768,0.1054913294797688,1131,0.0397877984084881
2020-04-26 00:00:00,653,0.110260336906585,6,0.1666666666666667
2020-04-25 00:00:00,860,0.113953488372093,20,0.05
2020-04-24 00:00:00,2388,0.0908710217755444,148,0.0135135135135135
2020-04-23 00:00:00,2062,0.0625606207565471,25,0.12
2020-04-22 00:00:00,1985,0.0816120906801008,5,0.0
2020-04-21 00:00:00,1914,0.0914315569487983,5,0.6
2020-04-20 00:00:00,2151,0.1292422129242213,9,0.1111111111111111
2020-04-19 00:00:00,671,0.1490312965722802,2,0.5
2020-04-18 00:00:00,704,0.140625,4,0.25
2020-04-17 00:00:00,1959,0.0923940786115365,14,0.2857142857142857
2020-04-16 00:00:00,1834,0.1025081788440567,4,0.0
2020-04-15 00:00:00,1750,0.1022857142857143,7,0.5714285714285714
2020-04-14 00:00:00,1686,0.1091340450771056,4,0.0
2020-04-13 00:00:00,1804,0.1225055432372506,5,0.4
2020-04-12 00:00:00,650,0.1261538461538462,,
2020-04-11 00:00:00,634,0.11198738170347,1,0.0
2020-04-10 00:00:00,1533,0.1076320939334638,4,0.0
2020-04-09 00:00:00,1679,0.1072066706372841,6,0.0
2020-04-08 00:00:00,1517,0.1166776532630191,,
2020-04-07 00:00:00,1694,0.0979929161747344,,
2020-04-06 00:00:00,2115,0.1002364066193854,,
2020-04-05 00:00:00,650,0.1138461538461539,,
2020-04-04 00:00:00,860,0.1290697674418605,,
2020-04-03 00:00:00,1815,0.096969696969697,,
2020-04-02 00:00:00,1933,0.0739782721158821,,
2020-04-01 00:00:00,1890,0.080952380952381,,
2020-03-31 00:00:00,1842,0.0814332247557003,,
2020-03-30 00:00:00,1983,0.0887544125063036,,
2020-03-29 00:00:00,595,0.119327731092437,,
2020-03-28 00:00:00,999,0.1041041041041041,,
2020-03-27 00:00:00,1988,0.0613682092555332,,
2020-03-26 00:00:00,2038,0.0711481844946026,,
2020-03-25 00:00:00,2307,0.0654529692241006,,
2020-03-24 00:00:00,2195,0.061503416856492,,
2020-03-23 00:00:00,2153,0.0664189503019043,,
2020-03-22 00:00:00,572,0.0804195804195804,,
2020-03-21 00:00:00,651,0.0691244239631337,,
2020-03-20 00:00:00,1657,0.0579360289680145,,
2020-03-19 00:00:00,1466,0.0443383356070941,,
2020-03-18 00:00:00,1283,0.0428682774746687,,
2020-03-17 00:00:00,1205,0.0589211618257261,,
2020-03-16 00:00:00,913,0.0449069003285871,,
2020-03-15 00:00:00,251,0.0597609561752988,,
2020-03-14 00:00:00,211,0.0568720379146919,,
2020-03-13 00:00:00,403,0.0173697270471464,,
2020-03-12 00:00:00,283,0.0247349823321555,,
2020-03-11 00:00:00,93,0.032258064516129,,
2020-03-10 00:00:00,44,0.0,,
2020-03-09 00:00:00,43,0.0232558139534884,,
2020-03-08 00:00:00,7,0.0,,
2020-03-07 00:00:00,3,0.0,,
2020-03-06 00:00:00,20,0.1,,
2020-03-05 00:00:00,8,0.125,,
2020-03-04 00:00:00,11,0.0909090909090909,,
2020-03-03 00:00:00,1,0.0,,
2020-03-02 00:00:00,5,0.4,,
2020-03-01 00:00:00,3,0.0,,
2020-02-28 00:00:00,1,0.0,,
2020-02-27 00:00:00,5,0.4,,
2020-02-26 00:00:00,5,0.0,,
2020-02-25 00:00:00,4,0.0,,
2020-02-24 00:00:00,1,0.0,,
2020-02-23 00:00:00,2,0.0,,
2020-02-15 00:00:00,1,0.0,,
2020-02-11 00:00:00,1,0.0,,
2020-02-08 00:00:00,1,0.0,,
2020-02-03 00:00:00,1,0.0,,
