date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-02-04,3167,4666,830
2021-02-05,3060,4718,890
2021-02-06,2910,4862,896
2021-02-07,2853,4848,950
2021-02-08,2744,4909,1018
2021-02-09,2589,5168,921
2021-02-10,2507,5282,889
2021-02-11,2396,5381,890
2021-02-12,2300,5439,922
2021-02-13,2213,5425,1020
2021-02-14,2119,5470,1049
2021-02-15,2047,5518,1069
2021-02-16,1941,5725,972
2021-02-17,1823,5816,989
2021-02-18,1738,5910,995
2021-02-19,1650,5908,1039
2021-02-20,1598,5932,1057
2021-02-21,1590,5874,1119
2021-02-22,1515,5897,1177
2021-02-23,1449,6107,1037
2021-02-24,1385,6231,975
2021-02-25,1354,6274,964
2021-02-26,1317,6278,1002
2021-02-27,1251,6304,1046
2021-02-28,1241,6203,1153
2021-03-01,1202,6167,1215
2021-03-02,1165,6302,1112
2021-03-03,1072,6469,1045
2021-03-04,1043,6559,970
2021-03-05,966,6650,952
2021-03-06,963,6641,957
2021-03-07,919,6661,968
2021-03-08,925,6529,1083
2021-03-09,868,6681,1005
2021-03-10,879,6687,995
2021-03-11,831,6737,984
2021-03-12,814,6732,1011
2021-03-13,765,6734,1064
2021-03-14,716,6752,1085
2021-03-15,743,6688,1129
2021-03-16,773,6824,988
2021-03-17,743,6882,954
2021-03-18,686,6915,984
2021-03-19,700,6909,978
2021-03-20,631,6840,1105
2021-03-21,647,6767,1144
2021-03-22,650,6767,1158
2021-03-23,653,6866,1049
2021-03-24,628,6943,1021
2021-03-25,626,6960,1004
2021-03-26,581,6961,1049
2021-03-27,562,6880,1132
2021-03-28,549,6837,1161
2021-03-30,592,6870,1097
2021-03-31,604,6909,1060
2021-04-01,572,7083,924
2021-04-02,541,7112,931
2021-04-03,538,7062,985
2021-04-04,516,7025,1038
2021-04-05,546,6990,1034
2021-04-06,574,6985,1023
2021-04-07,541,7047,996
2021-04-08,571,7028,974
2021-04-09,576,7010,985
2021-04-10,532,6942,1092
2021-04-11,552,6899,1109
2021-04-12,565,6786,1229
2021-04-13,531,6959,1084
2021-04-14,584,6968,1025
2021-04-15,569,6983,1025
2021-04-16,567,6956,1054
2021-04-17,549,6927,1104
2021-04-18,555,6932,1070
2021-04-19,562,6786,1233
2021-04-20,584,6997,1005
2021-04-21,585,7095,929
2021-04-22,594,7099,912
2021-04-23,592,7073,922
2021-04-24,591,6965,1028
2021-04-25,611,6841,1127
2021-04-26,615,6787,1178
2021-04-27,622,6852,1105
2021-04-28,643,6905,1038
2021-04-29,618,6987,984
2021-04-30,635,6967,989
2021-05-01,605,6944,1034
2021-05-02,607,6875,1093
2021-05-03,615,6857,1120
2021-05-04,636,6896,1061
2021-05-05,672,7008,915
2021-05-06,666,7015,919
2021-05-07,612,7061,929
2021-05-08,592,6967,1034
2021-05-09,565,6870,1154
2021-05-10,577,6876,1143
2021-05-11,599,6994,1014
2021-05-12,585,7021,999
2021-05-13,594,7034,977
2021-05-14,595,7052,956
2021-05-15,596,6930,1069
2021-05-16,594,6869,1122
2021-05-17,578,6819,1223
2021-05-18,607,6950,1071
2021-05-19,591,7041,996
2021-05-20,581,7022,1004
2021-05-21,573,6999,1029
2021-05-22,535,7006,1046
2021-05-23,529,6934,1132
2021-05-24,551,6942,1102
2021-05-25,545,7082,970
2021-05-26,545,7145,909
2021-05-27,576,7088,935
2021-05-28,555,7090,955
2021-05-29,545,7005,1039
2021-05-30,553,6907,1123
2021-05-31,549,6860,1187
2021-06-01,544,6906,1145
2021-06-02,532,7110,956
2021-06-03,590,7062,947
2021-06-04,566,7077,945
2021-06-05,552,7035,996
2021-06-06,560,6901,1034
2021-06-07,602,6820,1083
2021-06-08,600,6946,972
2021-06-09,559,7167,928
2021-06-10,525,7190,940
2021-06-11,529,7195,929
2021-06-12,512,7165,969
2021-06-13,520,6938,1169
2021-06-14,509,7019,1099
2021-06-15,554,7024,1050
2021-06-16,480,7126,1022
2021-06-17,499,7214,916
2021-06-18,503,7231,917
2021-06-19,514,7210,928
2021-06-20,522,7145,973
2021-06-21,487,7111,1057
2021-06-22,502,7234,913
2021-06-23,497,7257,906
2021-06-24,523,7152,924
2021-06-25,525,7188,940
2021-06-26,506,7100,1047
2021-06-27,503,7049,1101
2021-06-28,532,7049,1066
2021-06-29,559,7149,935
2021-06-30,527,7189,928
2021-07-01,530,7199,912
2021-07-02,520,7142,981
2021-07-03,504,7086,1054
2021-07-04,525,7015,1100
2021-07-05,531,6926,1176
2021-07-06,562,6963,1123
2021-07-07,548,7053,1047
2021-07-08,535,7190,950
2021-07-09,550,7163,961
2021-07-10,603,7087,978
2021-07-11,602,7079,976
2021-07-12,643,7002,1008
2021-07-13,669,7038,946
2021-07-14,689,7033,926
2021-07-15,719,7043,909
2021-07-16,745,6990,925
2021-07-17,775,6938,946
2021-07-18,814,6877,964
2021-07-19,809,6791,1045
2021-07-20,841,6926,906
2021-07-21,868,6946,861
2021-07-22,910,6895,867
2021-07-23,866,6899,908
2021-07-24,845,6802,1025
2021-07-25,835,6718,1100
2021-07-26,919,6675,1057
2021-07-27,973,6699,979
2021-07-28,1019,6668,964
2021-07-29,1072,6651,928
2021-07-30,1106,6654,903
2021-07-31,1131,6615,909
2021-08-01,1169,6572,918
2021-08-02,1207,6421,1044
2021-08-03,1252,6498,913
2021-08-04,1266,6514,887
2021-08-05,1309,6540,820
2021-08-06,1358,6481,834
2021-08-07,1350,6495,832
2021-08-08,1380,6456,846
2021-08-09,1470,6303,907
2021-08-10,1513,6400,783
2021-08-11,1527,6383,797
2021-08-12,1590,6369,767
2021-08-13,1601,6377,756
2021-08-14,1634,6245,838
2021-08-15,1667,6161,901
2021-08-16,1704,6108,901
2021-08-17,1759,6188,801
2021-08-18,1837,6208,717
2021-08-19,1806,6241,738
2021-08-20,1866,6176,746
2021-08-21,1871,6109,789
2021-08-22,1901,6018,844
2021-08-23,1994,5968,812
2021-08-24,1993,6061,719
2021-08-25,1978,6083,730
2021-08-26,1996,6050,727
2021-08-27,1982,6024,780
2021-08-28,1986,5983,812
2021-08-29,1983,5887,881
2021-08-30,2005,5867,883
2021-08-31,2057,5890,811
2021-09-01,2070,5954,737
2021-09-02,2051,5877,833
2021-09-03,2082,5847,815
2021-09-04,2062,5866,811
2021-09-05,2033,5884,815
2021-09-06,2083,5836,821
2021-09-07,2090,5834,816
2021-09-08,2061,5993,689
2021-09-09,2039,6024,683
2021-09-10,2085,5980,682
2021-09-11,2103,5932,690
2021-09-12,2094,5825,813
2021-09-13,2090,5787,841
2021-09-14,2077,5912,753
2021-09-15,2050,6002,695
2021-09-16,2034,6023,701
2021-09-17,1981,6096,681
2021-09-18,1922,6130,724
2021-09-19,1894,6022,858
2021-09-20,1933,6005,841
2021-09-21,1897,6102,774
2021-09-22,1893,6197,683
2021-09-23,1826,6262,649
2021-09-24,1834,6273,633
2021-09-25,1797,6289,652
2021-09-26,1794,6242,700
2021-09-27,1794,6196,753
2021-09-28,1767,6302,680
2021-09-29,1768,6352,631
2021-09-30,1756,6348,647
2021-10-01,1798,6285,669
2021-10-02,1730,6335,685
2021-10-03,1761,6356,627
2021-10-04,1786,6299,659
2021-10-05,1768,6344,658
2021-10-06,1762,6339,669
2021-10-07,1770,6323,677
2021-10-08,1753,6284,730
2021-10-09,1775,6355,637
2021-10-10,1755,6357,655
2021-10-11,1759,6230,762
2021-10-12,1771,6331,662
2021-10-13,1769,6320,674
2021-10-14,1663,6392,705
2021-10-15,1670,6349,741
2021-10-16,1669,6315,777
2021-10-17,1671,6300,790
2021-10-18,1703,6205,827
2021-10-19,1751,6260,724
2021-10-20,1688,6371,695
2021-10-21,1718,6341,704
2021-10-22,1681,6399,683
2021-10-23,1684,6392,696
2021-10-24,1701,6351,718
2021-10-25,1728,4017,803
2021-10-26,1730,6421,628
2021-10-27,1714,6417,647
2021-10-28,1718,6376,684
2021-10-29,1720,6371,687
2021-10-30,1784,6303,691
2021-10-31,1790,6207,778
2021-11-01,1881,6067,815
2021-11-02,1842,6227,704
